Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.004027925	1546969679.478378965	1
fio-128m-randread-bs-4096	BW	13.683249223	1546969693.161628188	54.3
fio-128m-randread-bs-4096	Latency.avg	.004305289	1546969693.165933477	71.5675
fio-128m-randwrite-bs-4096	BW	11.397973566	1546969704.563907043	1809.5
fio-128m-randwrite-bs-4096	Latency.avg	.004878613	1546969704.568785656	1685.8925
fio-128m-read-bs-4096	BW	10.904641305	1546969715.473426961	739.666666666667
fio-128m-read-bs-4096	Latency.avg	.004708881	1546969715.478135842	4879.66666666667
fio-128m-write-bs-4096	BW	11.454817002	1546969726.932952844	1939
fio-128m-write-bs-4096	Latency.avg	.004415225	1546969726.937368069	1663.67666666667
fio-128m-randread-bs-1024k	BW	10.896445581	1546969737.833813650	679.666666666667
fio-128m-randread-bs-1024k	Latency.avg	.004203558	1546969737.838017208	1424.88666666667
fio-128m-randwrite-bs-1024k	BW	11.997934488	1546969749.835951696	2510
fio-128m-randwrite-bs-1024k	Latency.avg	.004097929	1546969749.840049625	350.986666666667
fio-128m-read-bs-1024k	BW	10.893667748	1546969760.733717373	737.333333333333
fio-128m-read-bs-1024k	Latency.avg	.003814281	1546969760.737531654	1307.63333333333
fio-128m-write-bs-1024k	BW	11.289923134	1546969772.027454788	2510
fio-128m-write-bs-1024k	Latency.avg	.004385414	1546969772.031840202	350.963333333333
fio-512m-randread-bs-4096	BW	22.731595538	1546969794.763435740	54.3333333333333
fio-512m-randread-bs-4096	Latency.avg	.004344327	1546969794.767780067	71.45
fio-512m-randwrite-bs-4096	BW	12.792439823	1546969807.560219890	1745.75
fio-512m-randwrite-bs-4096	Latency.avg	.004411831	1546969807.564631721	1751.3025
fio-512m-read-bs-4096	BW	11.453047606	1546969819.017679327	712.5
fio-512m-read-bs-4096	Latency.avg	.004987935	1546969819.022667262	5078.8
fio-512m-write-bs-4096	BW	12.927936668	1546969831.950603930	1946.75
fio-512m-write-bs-4096	Latency.avg	.004164752	1546969831.954768682	1666.7825
fio-512m-randread-bs-1024k	BW	11.480954513	1546969843.435723195	666.5
fio-512m-randread-bs-1024k	Latency.avg	.004440125	1546969843.440163320	1456.03
fio-512m-randwrite-bs-1024k	BW	12.870923046	1546969856.311086366	2540.75
fio-512m-randwrite-bs-1024k	Latency.avg	.004343467	1546969856.315429833	349.36
fio-512m-read-bs-1024k	BW	11.440576009	1546969867.756005842	722.25
fio-512m-read-bs-1024k	Latency.avg	.004476763	1546969867.760482605	1338.9625
fio-512m-write-bs-1024k	BW	12.709019756	1546969880.469502361	2534.75
fio-512m-write-bs-1024k	Latency.avg	.004778794	1546969880.474281155	350.6475
