Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.001707734	1519222337.128764012	1
fio-128m-read	BW	.760738266	1519222337.889502278	448
fio-128m-read	Latency.avg	.004158387	1519222337.893660665	7873.47
fio-128m-write	BW	.556290694	1519222338.449951359	1524
fio-128m-write	Latency.avg	.004282288	1519222338.454233647	2106.68
fio-128m-randread	BW	10.485554942	1519222348.939788589	12.8
fio-128m-randread	Latency.avg	.004045262	1519222348.943833851	295083.14
fio-128m-randwrite	BW	.556054518	1519222349.499888369	1455
fio-128m-randwrite	Latency.avg	.004197615	1519222349.504085984	2130.28
fio-1024m-read	BW	8.457379008	1519222357.961464992	128
fio-1024m-read	Latency.avg	.004328057	1519222357.965793049	28648.62
fio-1024m-write	BW	1.063745974	1519222359.029539023	1712
fio-1024m-write	Latency.avg	.004340415	1519222359.033879438	1923.01
fio-1024m-randread	BW	93.895994199	1519222452.929873637	10
fio-1024m-randread	Latency.avg	.004221733	1519222452.934095370	328.22
fio-1024m-randwrite	BW	1.156243337	1519222454.090338707	1510
fio-1024m-randwrite	Latency.avg	.004231000	1519222454.094569707	2075.36
