Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.002197629	1519477470.332860600	1
fio-128m-read	BW	13.664734279	1519477483.997594879	49.2
fio-128m-read	Latency.avg	.061542331	1519477484.059137210	78931.32
fio-128m-write	BW	2.290582526	1519477486.349719736	1042
fio-128m-write	Latency.avg	.041071587	1519477486.390791323	2071.295
fio-128m-randread	BW	166.292057988	1519477652.682849311	819
fio-128m-randread	Latency.avg	.047745274	1519477652.730594585	4887.135
fio-128m-randwrite	BW	2.283802865	1519477655.014397450	1231.5
fio-128m-randwrite	Latency.avg	.039657931	1519477655.054055381	2131.825
fio-1024m-read	BW	72.589888811	1519477727.643944192	36.65
fio-1024m-read	Latency.avg	.041345578	1519477727.685289770	106480.425
fio-1024m-write	BW	10.198622353	1519477737.883912123	1489.5
fio-1024m-write	Latency.avg	.041640868	1519477737.925552991	2087.07
fio-1024m-randread	BW	4253.486177323	1519481991.411730314	250
fio-1024m-randread	Latency.avg	.030405829	1519481991.442136143	16017.46
fio-1024m-randwrite	BW	8.952982817	1519482000.395118960	1410.5
fio-1024m-randwrite	Latency.avg	.045191456	1519482000.440310416	2196.585
