Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.002141597	1519651755.441395453	1
fio-128m-randread	BW	77.354229995	1519651832.795625448	79.9
fio-128m-randread	Latency.avg	.004291692	1519651832.799917140	46.74
fio-128m-randwrite	BW	.676547880	1519651833.476465020	1280
fio-128m-randwrite	Latency.avg	.004540580	1519651833.481005600	2132.1
fio-128m-read	BW	.939227676	1519651834.420233276	561
fio-128m-read	Latency.avg	.004451585	1519651834.424684861	1075.47
fio-128m-write	BW	.705059500	1519651835.129744361	1267
fio-128m-write	Latency.avg	.004324291	1519651835.134068652	2096.43
fio-1024m-randread	BW	13.970996410	1519651849.105065062	75.3
fio-1024m-randread	Latency.avg	.004549280	1519651849.109614342	49664.58
fio-1024m-randwrite	BW	1.223377333	1519651850.332991675	1249
fio-1024m-randwrite	Latency.avg	.004528281	1519651850.337519956	2215.93
fio-1024m-read	BW	8.068432780	1519651858.405952736	133
fio-1024m-read	Latency.avg	.004312492	1519651858.410265228	980.12
fio-1024m-write	BW	1.044582280	1519651859.454847508	1552
fio-1024m-write	Latency.avg	.004428186	1519651859.459275694	1747.98
