Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.002718669	1521149001.829287599	1
fio-128m-randread-bs-4096	BW	40.627878109	1521149042.457165708	4976
fio-128m-randread-bs-4096	Latency.avg	.005007995	1521149042.462173703	801.61
fio-128m-randwrite-bs-4096	BW	10.605695427	1521149053.067869130	667
fio-128m-randwrite-bs-4096	Latency.avg	.004798696	1521149053.072667826	0.0
fio-128m-read-bs-4096	BW	11.219962023	1521149064.292629849	159
fio-128m-read-bs-4096	Latency.avg	.004861800	1521149064.297491649	17234.1
fio-128m-write-bs-4096	BW	10.596250042	1521149074.893741691	723
fio-128m-write-bs-4096	Latency.avg	.004841801	1521149074.898583492	0.0
fio-128m-randread-bs-1024k	BW	11.342181306	1521149086.240764798	138
fio-128m-randread-bs-1024k	Latency.avg	.004876696	1521149086.245641494	5572.14
fio-128m-randwrite-bs-1024k	BW	10.525235979	1521149096.770877473	1164
fio-128m-randwrite-bs-1024k	Latency.avg	.005225616	1521149096.776103089	768.18
fio-128m-read-bs-1024k	BW	11.140129560	1521149107.916232649	175
fio-128m-read-bs-1024k	Latency.avg	.004958334	1521149107.921190983	4060.57
fio-128m-write-bs-1024k	BW	10.534914186	1521149118.456105169	1153
fio-128m-write-bs-1024k	Latency.avg	.004908338	1521149118.461013507	775.85
fio-512m-randread-bs-4096	BW	130.348146171	1521149248.809159678	4890
fio-512m-randread-bs-4096	Latency.avg	.004893565	1521149248.814053243	815.59
fio-512m-randwrite-bs-4096	BW	11.148337336	1521149259.962390579	690
fio-512m-randwrite-bs-4096	Latency.avg	.004868908	1521149259.967259487	0.0
fio-512m-read-bs-4096	BW	12.987598852	1521149272.954858339	199
fio-512m-read-bs-4096	Latency.avg	.004827157	1521149272.959685496	18528.85
fio-512m-write-bs-4096	BW	11.258299888	1521149284.217985384	759
fio-512m-write-bs-4096	Latency.avg	.005209424	1521149284.223194808	0.0
fio-512m-randread-bs-1024k	BW	14.995652053	1521149299.218846861	112
fio-512m-randread-bs-1024k	Latency.avg	.004845695	1521149299.223692556	7234.95
fio-512m-randwrite-bs-1024k	BW	10.847194487	1521149310.070887043	1172
fio-512m-randwrite-bs-1024k	Latency.avg	.005206993	1521149310.076094036	777.43
fio-512m-read-bs-1024k	BW	12.904685939	1521149322.980779975	205
fio-512m-read-bs-1024k	Latency.avg	.005026500	1521149322.985806475	4762.69
fio-512m-write-bs-1024k	BW	10.847113100	1521149333.832919575	1180
fio-512m-write-bs-1024k	Latency.avg	.004881477	1521149333.837801052	773.07
