Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.004551932	1548092682.560037093	1
fio-128m-randread-bs-4096	BW	40.353539260	1548092722.913576353	434
fio-128m-randread-bs-4096	Latency.avg	.005940027	1548092722.919516380	7379.52
fio-128m-randwrite-bs-4096	BW	37.386282660	1548092760.305799040	709.5
fio-128m-randwrite-bs-4096	Latency.avg	.004267023	1548092760.310066063	3650.6
fio-128m-read-bs-4096	BW	44.346132202	1548092804.656198265	368.5
fio-128m-read-bs-4096	Latency.avg	.005585978	1548092804.661784243	22.125
fio-128m-write-bs-4096	BW	34.025416160	1548092838.687200403	737.5
fio-128m-write-bs-4096	Latency.avg	.005679443	1548092838.692879846	3635.43
fio-128m-randread-bs-1024k	BW	40.228289520	1548092878.921169366	433.5
fio-128m-randread-bs-1024k	Latency.avg	.005907978	1548092878.927077344	7419.695
fio-128m-randwrite-bs-1024k	BW	34.142310263	1548092913.069387607	754
fio-128m-randwrite-bs-1024k	Latency.avg	.005010280	1548092913.074397887	3512.2
fio-128m-read-bs-1024k	BW	44.625340122	1548092957.699738009	406
fio-128m-read-bs-1024k	Latency.avg	.005295019	1548092957.705033028	7566.615
fio-128m-write-bs-1024k	BW	34.571810261	1548092992.276843289	745.5
fio-128m-write-bs-1024k	Latency.avg	.005104324	1548092992.281947613	3570.075
fio-512m-randread-bs-4096	BW	45.432812241	1548093037.714759854	352.5
fio-512m-randread-bs-4096	Latency.avg	.005257783	1548093037.720017637	23.055
fio-512m-randwrite-bs-4096	BW	36.788061016	1548093074.508078653	640.5
fio-512m-randwrite-bs-4096	Latency.avg	.005513554	1548093074.513592207	4201.46
fio-512m-read-bs-4096	BW	40.980188553	1548093115.493780760	421
fio-512m-read-bs-4096	Latency.avg	.005921140	1548093115.499701900	19493.605
fio-512m-write-bs-4096	BW	34.696483180	1548093150.196185080	726.5
fio-512m-write-bs-4096	Latency.avg	.005774739	1548093150.201959819	3678.38
fio-512m-randread-bs-1024k	BW	39.829293003	1548093190.031252822	437.5
fio-512m-randread-bs-1024k	Latency.avg	.004907295	1548093190.036160117	7374.055
fio-512m-randwrite-bs-1024k	BW	34.645967446	1548093224.682127563	735
fio-512m-randwrite-bs-1024k	Latency.avg	.005220232	1548093224.687347795	3622.325
fio-512m-read-bs-1024k	BW	44.643652343	1548093269.331000138	367.5
fio-512m-read-bs-1024k	Latency.avg	.005258815	1548093269.336258953	22.225
fio-512m-write-bs-1024k	BW	37.882672957	1548093307.218931910	571.5
fio-512m-write-bs-1024k	Latency.avg	.005571765	1548093307.224503675	4998.525
