Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.012419569	1519223652.029314977	1
fio-128m-read	BW	1.899180616	1519223653.928495593	569
fio-128m-read	Latency.avg	.018114784	1519223653.946610377	6580.22
fio-128m-write	BW	1.172928711	1519223655.119539088	1243
fio-128m-write	Latency.avg	.019072880	1519223655.138611968	2386.81
fio-128m-randread	BW	6.261296498	1519223661.399908466	25.1
fio-128m-randread	Latency.avg	.020980115	1519223661.420888581	153.16
fio-128m-randwrite	BW	1.308459999	1519223662.729348580	1103
fio-128m-randwrite	Latency.avg	.019235779	1519223662.748584359	2534.44
fio-1024m-read	BW	3.554011806	1519223666.302596165	0.0
fio-1024m-read	Latency.avg	.017841610	1519223666.320437775	0.0
fio-1024m-write	BW	4.445216262	1519223670.765654037	0.0
fio-1024m-write	Latency.avg	.018689808	1519223670.784343845	0.0
fio-1024m-randread	BW	42.021234689	1519223712.805578534	0.0
fio-1024m-randread	Latency.avg	.019335160	1519223712.824913694	0.0
fio-1024m-randwrite	BW	3.431093384	1519223716.256007078	0.0
fio-1024m-randwrite	Latency.avg	.019057190	1519223716.275064268	0.0
