Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.011866844	1519815867.750684346	1
fio-128m-randread	BW	20.320256628	1519815888.070940974	15.5
fio-128m-randread	Latency.avg	.171619383	1519815888.242560357	248.38
fio-128m-randwrite	BW	11.295214452	1519815899.537774809	1174
fio-128m-randwrite	Latency.avg	.018444335	1519815899.556219144	2370.51
fio-128m-read	BW	11.315289128	1519815910.871508272	569
fio-128m-read	Latency.avg	.018161694	1519815910.889669966	6153.35
fio-128m-write	BW	11.558752698	1519815922.448422664	1306
fio-128m-write	Latency.avg	.019852396	1519815922.468275060	2300.07
fio-1024m-randread	BW	74.765049152	1519815997.233324212	16.8
fio-1024m-randread	Latency.avg	.019889087	1519815997.253213299	223.86
fio-1024m-randwrite	BW	14.295977212	1519816011.549190511	1174
fio-1024m-randwrite	Latency.avg	.018196581	1519816011.567387092	2449.53
fio-1024m-read	BW	12.910609933	1519816024.477997025	557
fio-1024m-read	Latency.avg	.018814542	1519816024.496811567	6354.3
fio-1024m-write	BW	14.184382354	1519816038.681193921	1330
fio-1024m-write	Latency.avg	.041089756	1519816038.722283677	2294.26
