Element	Step	dT	TimeStamp	Nops
fio-noargs	Start	.002063103	1519666343.943176698	1
fio-128m-randread	BW	23.089940809	1519666367.033117507	19.55
fio-128m-randread	Latency.avg	.004943303	1519666367.038060810	198.35
fio-128m-randwrite	BW	13.865070055	1519666380.903130865	1213.5
fio-128m-randwrite	Latency.avg	.007417308	1519666380.910548173	2241.15
fio-128m-read	BW	13.772064012	1519666394.682612185	650.5
fio-128m-read	Latency.avg	.005501786	1519666394.688113971	5805.255
fio-128m-write	BW	13.833398416	1519666408.521512387	1264.5
fio-128m-write	Latency.avg	.007799400	1519666408.529311787	2272.37
fio-1024m-randread	BW	67.141977979	1519666475.671289766	19.6
fio-1024m-randread	Latency.avg	.004586034	1519666475.675875800	197.575
fio-1024m-randwrite	BW	16.468795216	1519666492.144671016	1179.5
fio-1024m-randwrite	Latency.avg	.005786796	1519666492.150457812	2279.505
fio-1024m-read	BW	15.463794926	1519666507.614252738	884
fio-1024m-read	Latency.avg	.004852529	1519666507.619105267	3319.63
fio-1024m-write	BW	16.198338524	1519666523.817443791	1342
fio-1024m-write	Latency.avg	.004950726	1519666523.822394517	2144.895
