Element	Step	dT	TimeStamp	Nops
1AKI.pdb	Start	.009159606	1516884549.720890056	1
1AKI.pdb	Step1-pdb2gmx	.258098977	1516884549.978989033	1
1AKI.pdb	Step2-editconf	.014903540	1516884549.993892573	1
1AKI.pdb	Step3-solvate	.396033618	1516884550.389926191	1
1AKI.pdb	Step4-grompp	.320866300	1516884550.710792491	1
1AKI.pdb	Step5-genion	.067279896	1516884550.778072387	1
1AKI.pdb	Step6-grompp	.321789146	1516884551.099861533	1
1AKI.pdb	Step7-mdrun-em	2.296659771	1516884553.396521304	1
1AKI.pdb	Step8-grompp	.447899567	1516884553.844420871	1
1AKI.pdb	Step9-mdrun-nvt	7.312515033	1516884561.156935904	1
1AKI.pdb	Step10-npt	.500260241	1516884561.657196145	1
1AKI.pdb	Step11-mdrun-npt	67.184330266	1516884628.841526411	1
1AKI.pdb	Step12-grompp	1.046767653	1516884629.888294064	1
1AKI.pdb	Step13-mdrun-prod-100	1.101979475	1516884630.990273539	100
1AKI.pdb	Step13-mdrun-prod-1000	2.256048266	1516884633.246321805	1000
1AKI.pdb	Step13-mdrun-prod-10000	2.273383917	1516884635.519705722	10000
