Element	Step	dT	TimeStamp	Nops
1AKI.pdb	Start	3.670703433	1519462956.444665270	1
1AKI.pdb	Step1-pdb2gmx	.289262654	1519462956.733927924	1
1AKI.pdb	Step2-editconf	.019466237	1519462956.753394161	1
1AKI.pdb	Step3-solvate	.403932957	1519462957.157327118	1
1AKI.pdb	Step4-grompp	.335308349	1519462957.492635467	1
1AKI.pdb	Step5-genion	.079871468	1519462957.572506935	1
1AKI.pdb	Step6-grompp	1.565694992	1519462959.138201927	1
1AKI.pdb	Step7-mdrun-em	3.825125375	1519462962.963327302	1
1AKI.pdb	Step8-grompp	1.535375282	1519462964.498702584	1
1AKI.pdb	Step9-mdrun-nvt	11.910489561	1519462976.409192145	1
1AKI.pdb	Step10-npt	2.167797377	1519462978.576989522	1
1AKI.pdb	Step11-mdrun-npt	107.663226762	1519463086.240216284	1
1AKI.pdb	Step12-grompp	6.965859194	1519463093.206075478	1
1AKI.pdb	Step13-mdrun-prod-100	2.006331310	1519463095.212406788	100
1AKI.pdb	Step13-mdrun-prod-1000	5.729481785	1519463100.941888573	1000
1AKI.pdb	Step13-mdrun-prod-10000	5.094615285	1519463106.036503858	10000
