Element	Step	dT	TimeStamp	Nops
1AKI.pdb	Start	.028881888	1520757598.582972894	1
1AKI.pdb	Step1-pdb2gmx	1.482963359	1520757600.065936253	1
1AKI.pdb	Step2-editconf	.574239714	1520757600.640175967	1
1AKI.pdb	Step3-solvate	1.018207353	1520757601.658383320	1
1AKI.pdb	Step4-grompp	1.028892290	1520757602.687275610	1
1AKI.pdb	Step5-genion	.655701615	1520757603.342977225	1
1AKI.pdb	Step6-grompp	1.030023433	1520757604.373000658	1
1AKI.pdb	Step7-mdrun-em	23.705504024	1520757628.078504682	1
1AKI.pdb	Step8-grompp	1.341353284	1520757629.419857966	1
1AKI.pdb	Step9-mdrun-nvt	30.772510311	1520757660.192368277	1
1AKI.pdb	Step10-npt	1.382433012	1520757661.574801289	1
1AKI.pdb	Step11-mdrun-npt	129.302599352	1520757790.877400641	1
1AKI.pdb	Step12-grompp	4.432171311	1520757795.309571952	1
1AKI.pdb	Step13-mdrun-prod-100	20.179803273	1520757815.489375225	100
1AKI.pdb	Step13-mdrun-prod-100-perf-ns_per_day	.006616969	1520757815.495992194	19.345
1AKI.pdb	Step13-mdrun-prod-100-imbalance-percentage	.002787327	1520757815.498779521	16.2
1AKI.pdb	Step13-mdrun-prod-1000	22.627633043	1520757838.126412564	1000
1AKI.pdb	Step13-mdrun-prod-1000-perf-ns_per_day	.006664130	1520757838.133076694	53.562
1AKI.pdb	Step13-mdrun-prod-1000-imbalance-percentage	.002791254	1520757838.135867948	16.4
1AKI.pdb	Step13-mdrun-prod-10000	42.557478279	1520757880.693346227	10000
1AKI.pdb	Step13-mdrun-prod-10000-perf-ns_per_day	.006657057	1520757880.700003284	73.740
1AKI.pdb	Step13-mdrun-prod-10000-imbalance-percentage	.002788626	1520757880.702791910	2.4
1AKI.pdb	Step13-mdrun-prod-100000	242.045602035	1520758122.748393945	100000
1AKI.pdb	Step13-mdrun-prod-100000-perf-ns_per_day	.007910697	1520758122.756304642	77.498
1AKI.pdb	Step13-mdrun-prod-100000-imbalance-percentage	.002759434	1520758122.759064076	2.5
