Element	Step	dT	TimeStamp	Nops
1AKI.pdb	Start	1.154942006	1516884260.729849690	1
1AKI.pdb	Step1-pdb2gmx	.495220631	1516884261.225070321	1
1AKI.pdb	Step2-editconf	.026886763	1516884261.251957084	1
1AKI.pdb	Step3-solvate	.561840328	1516884261.813797412	1
1AKI.pdb	Step4-grompp	.437328665	1516884262.251126077	1
1AKI.pdb	Step5-genion	.130703202	1516884262.381829279	1
1AKI.pdb	Step6-grompp	.440267167	1516884262.822096446	1
1AKI.pdb	Step7-mdrun-em	18.997488429	1516884281.819584875	1
1AKI.pdb	Step8-grompp	.608169221	1516884282.427754096	1
1AKI.pdb	Step9-mdrun-nvt	91.671411080	1516884374.099165176	1
1AKI.pdb	Step10-npt	.712440101	1516884374.811605277	1
1AKI.pdb	Step11-mdrun-npt	963.341184341	1516885338.152789618	1
1AKI.pdb	Step12-grompp	1.641371589	1516885339.794161207	1
1AKI.pdb	Step13-mdrun-prod-100	2.856720442	1516885342.650881649	100
1AKI.pdb	Step13-mdrun-prod-1000	20.152849832	1516885362.803731481	1000
1AKI.pdb	Step13-mdrun-prod-10000	21.020300513	1516885383.824031994	10000
