Element	Step	dT	TimeStamp	Nops
1AKI.pdb	Start	.050427693	1520547333.674378681	1
1AKI.pdb	Step1-pdb2gmx	1.027996329	1520547334.702375010	1
1AKI.pdb	Step2-editconf	.148191603	1520547334.850566613	1
1AKI.pdb	Step3-solvate	.591885179	1520547335.442451792	1
1AKI.pdb	Step4-grompp	.691850015	1520547336.134301807	1
1AKI.pdb	Step5-genion	.228377371	1520547336.362679178	1
1AKI.pdb	Step6-grompp	.583441250	1520547336.946120428	1
1AKI.pdb	Step7-mdrun-em	6.648045960	1520547343.594166388	1
1AKI.pdb	Step8-grompp	.880870948	1520547344.475037336	1
1AKI.pdb	Step9-mdrun-nvt	20.173443978	1520547364.648481314	1
1AKI.pdb	Step10-npt	1.066076095	1520547365.714557409	1
1AKI.pdb	Step11-mdrun-npt	176.664976449	1520547542.379533858	1
1AKI.pdb	Step12-grompp	1.956240277	1520547544.335774135	1
1AKI.pdb	Step13-mdrun-prod-100	4.768471400	1520547549.104245535	100
1AKI.pdb	Step13-mdrun-prod-100-perf-ns_per_day	.023263081	1520547549.127508616	19.270
1AKI.pdb	Step13-mdrun-prod-100-imbalance-percentage	.012911127	1520547549.140419743	14.9
1AKI.pdb	Step13-mdrun-prod-1000	8.025088130	1520547557.165507873	1000
1AKI.pdb	Step13-mdrun-prod-1000-perf-ns_per_day	.032109354	1520547557.197617227	35.396
1AKI.pdb	Step13-mdrun-prod-1000-imbalance-percentage	.009694479	1520547557.207311706	17.0
1AKI.pdb	Step13-mdrun-prod-10000	38.737224407	1520547595.944536113	10000
1AKI.pdb	Step13-mdrun-prod-10000-perf-ns_per_day	.080617469	1520547596.025153582	48.450
1AKI.pdb	Step13-mdrun-prod-10000-imbalance-percentage	.008911865	1520547596.034065447	2.1
