Element	Step	dT	TimeStamp	Nops
1AKI.pdb	Start	.006452077	1520075338.769824508	1
1AKI.pdb	Step1-pdb2gmx	60.397930252	1520075399.167754760	1
1AKI.pdb	Step2-editconf	60.118226454	1520075459.285981214	1
1AKI.pdb	Step3-solvate	60.498661145	1520075519.784642359	1
1AKI.pdb	Step4-grompp	60.487320720	1520075580.271963079	1
1AKI.pdb	Step5-genion	60.216091470	1520075640.488054549	1
1AKI.pdb	Step6-grompp	60.477874777	1520075700.965929326	1
1AKI.pdb	Step7-mdrun-em	69.668181944	1520075770.634111270	1
1AKI.pdb	Step8-grompp	60.630929858	1520075831.265041128	1
1AKI.pdb	Step9-mdrun-nvt	84.662117184	1520075915.927158312	1
1AKI.pdb	Step10-npt	60.673492586	1520075976.600650898	1
1AKI.pdb	Step11-mdrun-npt	261.725382697	1520076238.326033595	1
1AKI.pdb	Step12-grompp	181.613490381	1520076419.939523976	1
1AKI.pdb	Step13-mdrun-prod-100	62.705696112	1520076482.645220088	100
1AKI.pdb	Step13-mdrun-prod-1000	66.766751569	1520076549.411971657	1000
1AKI.pdb	Step13-mdrun-prod-10000	66.018156195	1520076615.430127852	10000
