Element	Step	dT	TimeStamp	Nops
1AKI.pdb	Start	.139785590	1517404826.198737257	1
1AKI.pdb	Step1-pdb2gmx	.394985054	1517404826.593722311	1
1AKI.pdb	Step2-editconf	.016817574	1517404826.610539885	1
1AKI.pdb	Step3-solvate	.432519631	1517404827.043059516	1
1AKI.pdb	Step4-grompp	.424276796	1517404827.467336312	1
1AKI.pdb	Step5-genion	.092801934	1517404827.560138246	1
1AKI.pdb	Step6-grompp	.421927663	1517404827.982065909	1
1AKI.pdb	Step7-mdrun-em	4.348727358	1517404832.330793267	1
1AKI.pdb	Step8-grompp	.579082898	1517404832.909876165	1
1AKI.pdb	Step9-mdrun-nvt	15.096936004	1517404848.006812169	1
1AKI.pdb	Step10-npt	.649051440	1517404848.655863609	1
1AKI.pdb	Step11-mdrun-npt	144.023759442	1517404992.679623051	1
1AKI.pdb	Step12-grompp	1.371850904	1517404994.051473955	1
1AKI.pdb	Step13-mdrun-prod-100	1.471471293	1517404995.522945248	100
1AKI.pdb	Step13-mdrun-prod-1000	4.106699678	1517404999.629644926	1000
1AKI.pdb	Step13-mdrun-prod-10000	4.001021814	1517405003.630666740	10000
