Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.004229681	1516884641.380718605	1
hpcc-N-1000	hpcc-all	23.423119890	1516884664.803838495	1
hpcc-N-1000	MPIRandomAccess	.004902292	1516884664.808740787	0.094584697
hpcc-N-1000	StarRandomAccess	.005134589	1516884664.813875376	0.152160480
hpcc-N-1000	StarDGEMM_Average_Gflops	.006932879	1516884664.820808255	1.510484
hpcc-N-1000	MPIFFT_Gflops	.005604515	1516884664.826412770	41.425
hpcc-N-1000	StarFFT_Average_Gflops	.005095728	1516884664.831508498	1.997547
hpcc-N-1000	HPL_Gflops	.004863341	1516884664.836371839	6.676e+00
hpcc-N-5000	hpcc-all	81.830578814	1516884746.666950653	1
hpcc-N-5000	MPIRandomAccess	.004862722	1516884746.671813375	0.091372590
hpcc-N-5000	StarRandomAccess	.005038642	1516884746.676852017	0.014477953
hpcc-N-5000	StarDGEMM_Average_Gflops	.006196275	1516884746.683048292	0.622243
hpcc-N-5000	MPIFFT_Gflops	.005697614	1516884746.688745906	26.990
hpcc-N-5000	StarFFT_Average_Gflops	.005770796	1516884746.694516702	1.049400
hpcc-N-5000	HPL_Gflops	.005394864	1516884746.699911566	8.168e+00
hpcc-N-10000	hpcc-all	357.155921226	1516885103.855832792	1
hpcc-N-10000	MPIRandomAccess	.005166158	1516885103.860998950	0.092595186
hpcc-N-10000	StarRandomAccess	.004804421	1516885103.865803371	0.013412961
hpcc-N-10000	StarDGEMM_Average_Gflops	.006338907	1516885103.872142278	0.623501
hpcc-N-10000	MPIFFT_Gflops	.005325574	1516885103.877467852	26.627
hpcc-N-10000	StarFFT_Average_Gflops	.005023973	1516885103.882491825	0.896436
hpcc-N-10000	HPL_Gflops	.005042384	1516885103.887534209	8.244e+00
hpcc-N-50000	hpcc-all	3.193709954	1516885107.081244163	1
hpcc-N-50000	MPIRandomAccess	.028726333	1516885107.109970496	0.0
hpcc-N-50000	StarRandomAccess	.005316027	1516885107.115286523	0.0
hpcc-N-50000	StarDGEMM_Average_Gflops	.008891063	1516885107.124177586	0.0
hpcc-N-50000	MPIFFT_Gflops	.005756709	1516885107.129934295	0.0
hpcc-N-50000	StarFFT_Average_Gflops	.006078340	1516885107.136012635	0.0
hpcc-N-50000	HPL_Gflops	.005909772	1516885107.141922407	0.0
hpcc-N-100000	hpcc-all	3.694075391	1516885110.835997798	1
hpcc-N-100000	MPIRandomAccess	.017547306	1516885110.853545104	0.0
hpcc-N-100000	StarRandomAccess	.005239500	1516885110.858784604	0.0
hpcc-N-100000	StarDGEMM_Average_Gflops	.007947109	1516885110.866731713	0.0
hpcc-N-100000	MPIFFT_Gflops	.006338501	1516885110.873070214	0.0
hpcc-N-100000	StarFFT_Average_Gflops	.006118381	1516885110.879188595	0.0
hpcc-N-100000	HPL_Gflops	.005816508	1516885110.885005103	0.0
