Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.026330393	1516716653.853274484	1
hpcc-N-1000	hpcc-all	2.573119559	1516716656.426394043	1
hpcc-N-1000	MPIRandomAccess	.022331366	1516716656.448725409	0.048245487
hpcc-N-1000	StarRandomAccess	.002981970	1516716656.451707379	0.200020307
hpcc-N-1000	StarDGEMM_Average_Gflops	.003695075	1516716656.455402454	1.860337
hpcc-N-1000	MPIFFT_Gflops	.003198559	1516716656.458601013	18.038
hpcc-N-1000	StarFFT_Average_Gflops	.003239113	1516716656.461840126	2.229098
hpcc-N-1000	HPL_Gflops	.003174530	1516716656.465014656	6.619e+00
hpcc-N-5000	hpcc-all	39.661160126	1516716696.126174782	1
hpcc-N-5000	MPIRandomAccess	.003054334	1516716696.129229116	0.045030072
hpcc-N-5000	StarRandomAccess	.002808759	1516716696.132037875	0.026375645
hpcc-N-5000	StarDGEMM_Average_Gflops	.003688508	1516716696.135726383	1.233532
hpcc-N-5000	MPIFFT_Gflops	.003137027	1516716696.138863410	11.627
hpcc-N-5000	StarFFT_Average_Gflops	.003190221	1516716696.142053631	1.531208
hpcc-N-5000	HPL_Gflops	.003155684	1516716696.145209315	8.036e+00
hpcc-N-10000	hpcc-all	235.301336055	1516716931.446545370	1
hpcc-N-10000	MPIRandomAccess	.003072160	1516716931.449617530	0.046416144
hpcc-N-10000	StarRandomAccess	.002808665	1516716931.452426195	0.023481299
hpcc-N-10000	StarDGEMM_Average_Gflops	.003604463	1516716931.456030658	1.225019
hpcc-N-10000	MPIFFT_Gflops	.003253215	1516716931.459283873	10.268
hpcc-N-10000	StarFFT_Average_Gflops	.003217155	1516716931.462501028	1.453111
hpcc-N-10000	HPL_Gflops	.003147682	1516716931.465648710	8.181e+00
hpcc-N-50000	hpcc-all	2.595986406	1516716934.061635116	1
hpcc-N-50000	MPIRandomAccess	.568501507	1516716934.630136623	0.0
hpcc-N-50000	StarRandomAccess	.003246718	1516716934.633383341	0.0
hpcc-N-50000	StarDGEMM_Average_Gflops	.021943235	1516716934.655326576	0.0
hpcc-N-50000	MPIFFT_Gflops	.003493038	1516716934.658819614	0.0
hpcc-N-50000	StarFFT_Average_Gflops	.003425095	1516716934.662244709	0.0
hpcc-N-50000	HPL_Gflops	.003249277	1516716934.665493986	0.0
hpcc-N-100000	hpcc-all	2.607406874	1516716937.272900860	1
hpcc-N-100000	MPIRandomAccess	.598882543	1516716937.871783403	0.0
hpcc-N-100000	StarRandomAccess	.003163708	1516716937.874947111	0.0
hpcc-N-100000	StarDGEMM_Average_Gflops	.006964426	1516716937.881911537	0.0
hpcc-N-100000	MPIFFT_Gflops	.003446215	1516716937.885357752	0.0
hpcc-N-100000	StarFFT_Average_Gflops	.003334507	1516716937.888692259	0.0
hpcc-N-100000	HPL_Gflops	.003232791	1516716937.891925050	0.0
