Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.016922755	1516305462.588162564	1
hpcc-N-1000	hpcc-all	2.672520816	1516305465.260683380	1
hpcc-N-1000	MPIRandomAccess	.003420169	1516305465.264103549	0.041439157
hpcc-N-1000	StarRandomAccess	.003133631	1516305465.267237180	0.174069758
hpcc-N-1000	StarDGEMM_Average_Gflops	.003620564	1516305465.270857744	20683
hpcc-N-1000	MPIFFT_Gflops	.003008398	1516305465.273866142	20683
hpcc-N-1000	StarFFT_Average_Gflops	.003024214	1516305465.276890356	20683
hpcc-N-1000	HPL_Gflops	.003042752	1516305465.279933108	20683
hpcc-N-5000	hpcc-all	54.507661876	1516305519.787594984	1
hpcc-N-5000	MPIRandomAccess	.003356525	1516305519.790951509	0.029949683
hpcc-N-5000	StarRandomAccess	.003178648	1516305519.794130157	0.021362619
hpcc-N-5000	StarDGEMM_Average_Gflops	.003657334	1516305519.797787491	20683
hpcc-N-5000	MPIFFT_Gflops	.003057334	1516305519.800844825	20683
hpcc-N-5000	StarFFT_Average_Gflops	.003011811	1516305519.803856636	20683
hpcc-N-5000	HPL_Gflops	.002949631	1516305519.806806267	20683
hpcc-N-10000	hpcc-all	293.798561573	1516305813.605367840	1
hpcc-N-10000	MPIRandomAccess	.003427832	1516305813.608795672	0.038541962
hpcc-N-10000	StarRandomAccess	.003151160	1516305813.611946832	0.016666020
hpcc-N-10000	StarDGEMM_Average_Gflops	.003464148	1516305813.615410980	20683
hpcc-N-10000	MPIFFT_Gflops	.002954923	1516305813.618365903	20683
hpcc-N-10000	StarFFT_Average_Gflops	.003034735	1516305813.621400638	20683
hpcc-N-10000	HPL_Gflops	.003015115	1516305813.624415753	20683
hpcc-N-50000	hpcc-all	2.071488908	1516305815.695904661	1
hpcc-N-50000	MPIRandomAccess	.462844743	1516305816.158749404	0.0
hpcc-N-50000	StarRandomAccess	.004489996	1516305816.163239400	0.0
hpcc-N-50000	StarDGEMM_Average_Gflops	.006264309	1516305816.169503709	0.0
hpcc-N-50000	MPIFFT_Gflops	.004100843	1516305816.173604552	0.0
hpcc-N-50000	StarFFT_Average_Gflops	.003999579	1516305816.177604131	0.0
hpcc-N-50000	HPL_Gflops	.003890309	1516305816.181494440	0.0
hpcc-N-100000	hpcc-all	2.356434788	1516305818.537929228	1
hpcc-N-100000	MPIRandomAccess	.309812225	1516305818.847741453	0.0
hpcc-N-100000	StarRandomAccess	.004577814	1516305818.852319267	0.0
hpcc-N-100000	StarDGEMM_Average_Gflops	.006448097	1516305818.858767364	0.0
hpcc-N-100000	MPIFFT_Gflops	.004039263	1516305818.862806627	0.0
hpcc-N-100000	StarFFT_Average_Gflops	.003945090	1516305818.866751717	0.0
hpcc-N-100000	HPL_Gflops	.003861601	1516305818.870613318	0.0
