Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.002686335	1519222460.452247385	1
hpcc-N-1000	hpcc-all	3.433364935	1519222463.885612320	1
hpcc-N-1000	MPIRandomAccess	.003388062	1519222463.889000382	0.027856466
hpcc-N-1000	StarRandomAccess	.003492137	1519222463.892492519	0.206605213
hpcc-N-1000	StarDGEMM_Average_Gflops	.004471674	1519222463.896964193	1.564935
hpcc-N-1000	MPIFFT_Gflops	.004086032	1519222463.901050225	4.562
hpcc-N-1000	StarFFT_Average_Gflops	.003862371	1519222463.904912596	3.485494
hpcc-N-1000	HPL_Gflops	.004078899	1519222463.908991495	5.598e+00
hpcc-N-10000	hpcc-all	60.934906679	1519222524.843898174	1
hpcc-N-10000	MPIRandomAccess	.003409545	1519222524.847307719	0.026482495
hpcc-N-10000	StarRandomAccess	.003170968	1519222524.850478687	0.015183214
hpcc-N-10000	StarDGEMM_Average_Gflops	.004380133	1519222524.854858820	0.624616
hpcc-N-10000	MPIFFT_Gflops	.003941049	1519222524.858799869	17.150
hpcc-N-10000	StarFFT_Average_Gflops	.003672399	1519222524.862472268	1.008315
hpcc-N-10000	HPL_Gflops	.003940169	1519222524.866412437	2.550e+01
hpcc-N-30000	hpcc-all	1102.005130899	1519223626.871543336	1
hpcc-N-30000	MPIRandomAccess	.003397659	1519223626.874940995	0.026771229
hpcc-N-30000	StarRandomAccess	.003446413	1519223626.878387408	0.011814458
hpcc-N-30000	StarDGEMM_Average_Gflops	.004533830	1519223626.882921238	0.622785
hpcc-N-30000	MPIFFT_Gflops	.003898687	1519223626.886819925	15.836
hpcc-N-30000	StarFFT_Average_Gflops	.003927977	1519223626.890747902	0.894589
hpcc-N-30000	HPL_Gflops	.003733017	1519223626.894480919	2.201e+01
