Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.003057689	1519168493.823698384	1
hpcc-N-1000	hpcc-all	.764535180	1519168494.588233564	1
hpcc-N-1000	MPIRandomAccess	.004215747	1519168494.592449311	0.037866371
hpcc-N-1000	StarRandomAccess	.003745563	1519168494.596194874	0.270815672
hpcc-N-1000	StarDGEMM_Average_Gflops	.005412803	1519168494.601607677	3.064854
hpcc-N-1000	MPIFFT_Gflops	.004025754	1519168494.605633431	0.0
hpcc-N-1000	StarFFT_Average_Gflops	.003790762	1519168494.609424193	0.0
hpcc-N-1000	HPL_Gflops	.003766763	1519168494.613190956	0.0
hpcc-N-10000	hpcc-all	34.072512191	1519168528.685703147	1
hpcc-N-10000	MPIRandomAccess	.003787158	1519168528.689490305	0.037150735
hpcc-N-10000	StarRandomAccess	.003870056	1519168528.693360361	0.048795075
hpcc-N-10000	StarDGEMM_Average_Gflops	.005265303	1519168528.698625664	1.573208
hpcc-N-10000	MPIFFT_Gflops	.004047449	1519168528.702673113	23.107
hpcc-N-10000	StarFFT_Average_Gflops	.004074447	1519168528.706747560	2.414738
hpcc-N-10000	HPL_Gflops	.004098747	1519168528.710846307	6.795e+01
hpcc-N-30000	hpcc-all	589.018905315	1519169117.729751622	1
hpcc-N-30000	MPIRandomAccess	.004006847	1519169117.733758469	0.036799865
hpcc-N-30000	StarRandomAccess	.003538065	1519169117.737296534	0.048803392
hpcc-N-30000	StarDGEMM_Average_Gflops	.004557927	1519169117.741854461	1.573561
hpcc-N-30000	MPIFFT_Gflops	.004254838	1519169117.746109299	23.553
hpcc-N-30000	StarFFT_Average_Gflops	.004416232	1519169117.750525531	2.219533
hpcc-N-30000	HPL_Gflops	.004355334	1519169117.754880865	4.776e+01
