Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.004327722	1516403968.992356862	1
hpcc-N-1000	hpcc-all	41.841032216	1516404010.833389078	1
hpcc-N-1000	MPIRandomAccess	.004346225	1516404010.837735303	0.007311685
hpcc-N-1000	StarRandomAccess	.004617437	1516404010.842352740	0.362578148
hpcc-N-1000	StarDGEMM_Average_Gflops	.004710931	1516404010.847063671	110463
hpcc-N-1000	MPIFFT_Gflops	.003910619	1516404010.850974290	110463
hpcc-N-1000	StarFFT_Average_Gflops	.003995489	1516404010.854969779	110463
hpcc-N-1000	HPL_Gflops	.003886704	1516404010.858856483	110463
hpcc-N-5000	hpcc-all	164.664048123	1516404175.522904606	1
hpcc-N-5000	MPIRandomAccess	.004447725	1516404175.527352331	0.007631364
hpcc-N-5000	StarRandomAccess	.004067986	1516404175.531420317	0.014509071
hpcc-N-5000	StarDGEMM_Average_Gflops	.004613448	1516404175.536033765	110463
hpcc-N-5000	MPIFFT_Gflops	.004111409	1516404175.540145174	110463
hpcc-N-5000	StarFFT_Average_Gflops	.003952818	1516404175.544097992	110463
hpcc-N-5000	HPL_Gflops	.003920501	1516404175.548018493	110463
hpcc-N-10000	hpcc-all	468.089376930	1516404643.637395423	1
hpcc-N-10000	MPIRandomAccess	.004365949	1516404643.641761372	0.007141034
hpcc-N-10000	StarRandomAccess	.004131466	1516404643.645892838	0.012660304
hpcc-N-10000	StarDGEMM_Average_Gflops	.004725525	1516404643.650618363	110463
hpcc-N-10000	MPIFFT_Gflops	.003914446	1516404643.654532809	110463
hpcc-N-10000	StarFFT_Average_Gflops	.004085028	1516404643.658617837	110463
hpcc-N-10000	HPL_Gflops	.003881607	1516404643.662499444	110463
