Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.004380965	1516885384.327414169	1
hpcc-N-1000	hpcc-all	1.482608451	1516885385.810022620	1
hpcc-N-1000	MPIRandomAccess	.005723530	1516885385.815746150	0.006806578
hpcc-N-1000	StarRandomAccess	.004894029	1516885385.820640179	0.076059188
hpcc-N-1000	StarDGEMM_Average_Gflops	.006138944	1516885385.826779123	3.878693
hpcc-N-1000	MPIFFT_Gflops	.005416279	1516885385.832195402	2.992
hpcc-N-1000	StarFFT_Average_Gflops	.006760874	1516885385.838956276	1.296794
hpcc-N-1000	HPL_Gflops	.005636874	1516885385.844593150	1.008e+01
hpcc-N-5000	hpcc-all	37.558096762	1516885423.402689912	1
hpcc-N-5000	MPIRandomAccess	.021049421	1516885423.423739333	0.007151852
hpcc-N-5000	StarRandomAccess	.005950124	1516885423.429689457	0.024737754
hpcc-N-5000	StarDGEMM_Average_Gflops	.006366656	1516885423.436056113	4.966852
hpcc-N-5000	MPIFFT_Gflops	.006008567	1516885423.442064680	2.065
hpcc-N-5000	StarFFT_Average_Gflops	.006300884	1516885423.448365564	1.077213
hpcc-N-5000	HPL_Gflops	.006525203	1516885423.454890767	1.608e+01
hpcc-N-10000	hpcc-all	181.660369462	1516885605.115260229	1
hpcc-N-10000	MPIRandomAccess	.009792389	1516885605.125052618	0.007200394
hpcc-N-10000	StarRandomAccess	.008403293	1516885605.133455911	0.020676316
hpcc-N-10000	StarDGEMM_Average_Gflops	.011201274	1516885605.144657185	4.812708
hpcc-N-10000	MPIFFT_Gflops	.009739863	1516885605.154397048	2.196
hpcc-N-10000	StarFFT_Average_Gflops	.010127810	1516885605.164524858	1.007748
hpcc-N-10000	HPL_Gflops	.009996505	1516885605.174521363	1.686e+01
hpcc-N-50000	hpcc-all	120.624741028	1516885725.799262391	1
hpcc-N-50000	MPIRandomAccess	.061992434	1516885725.861254825	0.0
hpcc-N-50000	StarRandomAccess	.012902613	1516885725.874157438	0.0
hpcc-N-50000	StarDGEMM_Average_Gflops	.023085255	1516885725.897242693	0.0
hpcc-N-50000	MPIFFT_Gflops	.012039544	1516885725.909282237	0.0
hpcc-N-50000	StarFFT_Average_Gflops	.013503532	1516885725.922785769	0.0
hpcc-N-50000	HPL_Gflops	.011753458	1516885725.934539227	0.0
hpcc-N-100000	hpcc-all	45.534872691	1516885771.469411918	1
hpcc-N-100000	MPIRandomAccess	.044733639	1516885771.514145557	Minimum
hpcc-N-100000	StarRandomAccess	.009467617	1516885771.523613174	Minimum
hpcc-N-100000	StarDGEMM_Average_Gflops	.012021536	1516885771.535634710	0.0
hpcc-N-100000	MPIFFT_Gflops	.008773930	1516885771.544408640	0.0
hpcc-N-100000	StarFFT_Average_Gflops	.008984424	1516885771.553393064	0.0
hpcc-N-100000	HPL_Gflops	.008517094	1516885771.561910158	0.0
