Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.018984958	1519224083.129753900	1
hpcc-N-1000	hpcc-all	7.552061922	1519224090.681815822	1
hpcc-N-1000	MPIRandomAccess	.016937179	1519224090.698753001	0.148062443
hpcc-N-1000	StarRandomAccess	.023633920	1519224090.722386921	0.270555574
hpcc-N-1000	StarDGEMM_Average_Gflops	.061295480	1519224090.783682401	1.832409
hpcc-N-1000	MPIFFT_Gflops	.049826190	1519224090.833508591	8.077
hpcc-N-1000	StarFFT_Average_Gflops	.016481783	1519224090.849990374	3.401249
hpcc-N-1000	HPL_Gflops	.016843154	1519224090.866833528	5.411e+00
hpcc-N-10000	hpcc-all	52.822562996	1519224143.689396524	1
hpcc-N-10000	MPIRandomAccess	.030457660	1519224143.719854184	0.142732063
hpcc-N-10000	StarRandomAccess	.038772342	1519224143.758626526	0.026516872
hpcc-N-10000	StarDGEMM_Average_Gflops	.034316884	1519224143.792943410	0.787381
hpcc-N-10000	MPIFFT_Gflops	.015977173	1519224143.808920583	8.814
hpcc-N-10000	StarFFT_Average_Gflops	.015912943	1519224143.824833526	1.453724
hpcc-N-10000	HPL_Gflops	.017054807	1519224143.841888333	2.153e+01
hpcc-N-30000	hpcc-all	1316.837560037	1519225460.679448370	1
hpcc-N-30000	MPIRandomAccess	.020326890	1519225460.699775260	0.138271766
hpcc-N-30000	StarRandomAccess	.044637567	1519225460.744412827	0.022556624
hpcc-N-30000	StarDGEMM_Average_Gflops	.060551089	1519225460.804963916	0.773380
hpcc-N-30000	MPIFFT_Gflops	.016498236	1519225460.821462152	8.769
hpcc-N-30000	StarFFT_Average_Gflops	.017885957	1519225460.839348109	1.296614
hpcc-N-30000	HPL_Gflops	.017629088	1519225460.856977197	1.738e+01
