Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.002583532	1519075289.016025865	1
hpcc-N-1000	hpcc-all	.673844779	1519075289.689870644	1
hpcc-N-1000	MPIRandomAccess	.003500373	1519075289.693371017	0.0
hpcc-N-1000	StarRandomAccess	.003232991	1519075289.696604008	0.0
hpcc-N-1000	StarDGEMM_Average_Gflops	.004457910	1519075289.701061918	0.0
hpcc-N-1000	MPIFFT_Gflops	.003831052	1519075289.704892970	0.0
hpcc-N-1000	StarFFT_Average_Gflops	.004231725	1519075289.709124695	0.0
hpcc-N-1000	HPL_Gflops	.003951544	1519075289.713076239	0.0
hpcc-N-10000	hpcc-all	.605345395	1519075290.318421634	1
hpcc-N-10000	MPIRandomAccess	.003590268	1519075290.322011902	0.0
hpcc-N-10000	StarRandomAccess	.003319685	1519075290.325331587	0.0
hpcc-N-10000	StarDGEMM_Average_Gflops	.004608002	1519075290.329939589	0.0
hpcc-N-10000	MPIFFT_Gflops	.004072337	1519075290.334011926	0.0
hpcc-N-10000	StarFFT_Average_Gflops	.003892848	1519075290.337904774	0.0
hpcc-N-10000	HPL_Gflops	.003720560	1519075290.341625334	0.0
hpcc-N-30000	hpcc-all	.605188471	1519075290.946813805	1
hpcc-N-30000	MPIRandomAccess	.003475175	1519075290.950288980	0.0
hpcc-N-30000	StarRandomAccess	.003362483	1519075290.953651463	0.0
hpcc-N-30000	StarDGEMM_Average_Gflops	.004529207	1519075290.958180670	0.0
hpcc-N-30000	MPIFFT_Gflops	.003779256	1519075290.961959926	0.0
hpcc-N-30000	StarFFT_Average_Gflops	.003790655	1519075290.965750581	0.0
hpcc-N-30000	HPL_Gflops	.003909647	1519075290.969660228	0.0
