Element	Step	dT	TimeStamp	Nops
hpcc-noargs	Start	.002619657	1517407600.452065276	1
hpcc-N-1000	hpcc-all	1143.300864534	1517408743.752929810	1
hpcc-N-1000	MPIRandomAccess	.004869580	1517408743.757799390	0.035031630
hpcc-N-1000	StarRandomAccess	.003544710	1517408743.761344100	0.182537001
hpcc-N-1000	StarDGEMM_Average_Gflops	.005024528	1517408743.766368628	1.498490
hpcc-N-1000	MPIFFT_Gflops	.004238331	1517408743.770606959	4.804
hpcc-N-1000	StarFFT_Average_Gflops	.004154166	1517408743.774761125	1.764811
hpcc-N-1000	HPL_Gflops	.004165227	1517408743.778926352	4.898e+00
hpcc-N-5000	hpcc-all	1261.348737949	1517410005.127664301	1
hpcc-N-5000	MPIRandomAccess	.003784233	1517410005.131448534	0.025432425
hpcc-N-5000	StarRandomAccess	.003554833	1517410005.135003367	0.020560765
hpcc-N-5000	StarDGEMM_Average_Gflops	.005300329	1517410005.140303696	0.737947
hpcc-N-5000	MPIFFT_Gflops	.004337406	1517410005.144641102	8.983
hpcc-N-5000	StarFFT_Average_Gflops	.004298566	1517410005.148939668	1.245571
hpcc-N-5000	HPL_Gflops	.004185550	1517410005.153125218	5.692e+00
