hpcc-noargs	Start	.002598201	1517390809.799526422	1
hpcc-N-1000	hpcc-all	58.880543504	1517390868.680069926	1
hpcc-N-1000	MPIRandomAccess	.003711902	1517390868.683781828	0.093477071
hpcc-N-1000	StarRandomAccess	.003467663	1517390868.687249491	0.189472967
hpcc-N-1000	StarDGEMM_Average_Gflops	.005146968	1517390868.692396459	1.500865
hpcc-N-1000	MPIFFT_Gflops	.004117844	1517390868.696514303	22.215
hpcc-N-1000	StarFFT_Average_Gflops	.004055377	1517390868.700569680	1.775918
hpcc-N-1000	HPL_Gflops	.004125207	1517390868.704694887	4.756e+00
hpcc-N-5000	hpcc-all	106.198846886	1517390974.903541773	1
hpcc-N-5000	MPIRandomAccess	.003661420	1517390974.907203193	0.089575376
hpcc-N-5000	StarRandomAccess	.003418361	1517390974.910621554	0.019601016
hpcc-N-5000	StarDGEMM_Average_Gflops	.005082385	1517390974.915703939	0.738805
hpcc-N-5000	MPIFFT_Gflops	.004141906	1517390974.919845845	17.049
hpcc-N-5000	StarFFT_Average_Gflops	.004137425	1517390974.923983270	1.244264
hpcc-N-5000	HPL_Gflops	.004048500	1517390974.928031770	6.046e+00
hpcc-N-10000	hpcc-all	352.633559296	1517391327.561591066	1
hpcc-N-10000	MPIRandomAccess	.003670665	1517391327.565261731	0.087982165
hpcc-N-10000	StarRandomAccess	.003469813	1517391327.568731544	0.016729003
hpcc-N-10000	StarDGEMM_Average_Gflops	.005148947	1517391327.573880491	0.728682
hpcc-N-10000	MPIFFT_Gflops	.004153166	1517391327.578033657	16.157
hpcc-N-10000	StarFFT_Average_Gflops	.004090633	1517391327.582124290	1.104229
hpcc-N-10000	HPL_Gflops	.004097422	1517391327.586221712	7.058e+00
hpcc-N-50000	hpcc-all	4.515304628	1517391332.101526340	1
hpcc-N-50000	MPIRandomAccess	.029123226	1517391332.130649566	0.0
hpcc-N-50000	StarRandomAccess	.003749846	1517391332.134399412	0.0
hpcc-N-50000	StarDGEMM_Average_Gflops	.008777080	1517391332.143176492	0.0
hpcc-N-50000	MPIFFT_Gflops	.004478921	1517391332.147655413	0.0
hpcc-N-50000	StarFFT_Average_Gflops	.004393465	1517391332.152048878	0.0
hpcc-N-50000	HPL_Gflops	.004409800	1517391332.156458678	0.0
hpcc-N-100000	hpcc-all	4.496684166	1517391336.653142844	1
hpcc-N-100000	MPIRandomAccess	.016057817	1517391336.669200661	0.0
hpcc-N-100000	StarRandomAccess	.003778098	1517391336.672978759	0.0
hpcc-N-100000	StarDGEMM_Average_Gflops	.006170237	1517391336.679148996	0.0
hpcc-N-100000	MPIFFT_Gflops	.004342191	1517391336.683491187	0.0
hpcc-N-100000	StarFFT_Average_Gflops	.004272301	1517391336.687763488	0.0
hpcc-N-100000	HPL_Gflops	.004264039	1517391336.692027527	0.0
