Element	Step	dT	TimeStamp	Nops
npb	_1_1	.005903902	1519223633.533668729	1
npb	_1_2	.003958296	1519223633.537627025	1
npb	_1_4	.004220484	1519223633.541847509	1
npb	_1_4	.003598117	1519223633.545445626	2
npb	_1_8	.004575115	1519223633.550020741	1
npb	_1_8	.003595927	1519223633.553616668	2
npb	_1_16	.005784638	1519223633.559401306	1
npb	_1_16	.003711191	1519223633.563112497	2
npb	_1_16	.003603938	1519223633.566716435	3
npb	_1_32	.007182464	1519223633.573898899	1
npb	_1_32	.003447244	1519223633.577346143	2
npb	_1_32	.003485029	1519223633.580831172	3
