Element	Step	dT	TimeStamp	Nops
npb	_1_1	40.737398514	1518879396.040451233	1
npb	_1_1	802.040366991	1518880198.080818224	1
npb	_1_1	292.311621559	1518880490.392439783	1
npb	_1_1	70.551320594	1518880560.943760377	1
npb	_1_1	300.360238202	1518880861.303998579	1
npb	_1_1	212.720159607	1518881074.024158186	1
npb	_1_1	1390.833265609	1518882464.857423795	1
npb	_1_1	896.791200661	1518883361.648624456	1
npb	_1_2	20.374427104	1518883382.023051560	1
npb	_1_2	418.343161949	1518883800.366213509	1
npb	_1_2	151.955066316	1518883952.321279825	1
npb	_1_2	36.539816200	1518883988.861096025	1
npb	_1_2	147.586497049	1518884136.447593074	1
npb	_1_2	107.180905773	1518884243.628498847	1
npb	_1_4	10.348769980	1518884253.977268827	1
npb	_1_4	10.411490998	1518884264.388759825	2
npb	_1_4	226.225516492	1518884490.614276317	1
npb	_1_4	225.688498350	1518884716.302774667	2
npb	_1_4	80.660454483	1518884796.963229150	1
npb	_1_4	78.648568288	1518884875.611797438	2
npb	_1_4	22.629286986	1518884898.241084424	1
npb	_1_4	22.839690354	1518884921.080774778	2
npb	_1_4	81.579673166	1518885002.660447944	1
npb	_1_4	81.759462207	1518885084.419910151	2
npb	_1_4	54.562033943	1518885138.981944094	1
npb	_1_4	54.518654986	1518885193.500599080	2
npb	_1_4	374.436125407	1518885567.936724487	1
npb	_1_4	374.197587210	1518885942.134311697	2
npb	_1_4	303.051691689	1518886245.186003386	1
npb	_1_4	303.196601409	1518886548.382604795	2
npb	_1_8	5.927929714	1518886554.310534509	1
npb	_1_8	5.771726367	1518886560.082260876	2
npb	_1_8	152.964157423	1518886713.046418299	1
npb	_1_8	152.779016805	1518886865.825435104	2
npb	_1_8	49.770922059	1518886915.596357163	1
npb	_1_8	49.573791838	1518886965.170149001	2
npb	_1_8	15.374214405	1518886980.544363406	1
npb	_1_8	15.416769535	1518886995.961132941	2
npb	_1_8	39.412522430	1518887035.373655371	1
npb	_1_8	39.261170647	1518887074.634826018	2
npb	_1_8	26.883577094	1518887101.518403112	1
npb	_1_8	26.972870493	1518887128.491273605	2
npb	_2_1	21.139349152	1518887149.630622757	1
npb	_2_1	386.144122521	1518887535.774745278	1
npb	_2_1	146.055198558	1518887681.829943836	1
npb	_2_1	35.405898052	1518887717.235841888	1
npb	_2_1	142.819781283	1518887860.055623171	1
npb	_2_1	109.413588701	1518887969.469211872	1
npb	_2_2	10.617110219	1518887980.086322091	1
npb	_2_2	10.470244785	1518887990.556566876	2
npb	_2_2	197.569608380	1518888188.126175256	1
npb	_2_2	197.848168835	1518888385.974344091	2
npb	_2_2	75.450867483	1518888461.425211574	1
npb	_2_2	74.932182823	1518888536.357394397	2
npb	_2_2	19.420343765	1518888555.777738162	1
npb	_2_2	19.381819572	1518888575.159557734	2
npb	_2_2	75.875532007	1518888651.035089741	1
npb	_2_2	76.119983618	1518888727.155073359	2
npb	_2_2	54.736069203	1518888781.891142562	1
npb	_2_2	54.914026980	1518888836.805169542	2
npb	_2_2	365.772434384	1518889202.577603926	1
npb	_2_2	363.139113436	1518889565.716717362	2
npb	_2_2	247.522259320	1518889813.238976682	1
npb	_2_2	246.085195759	1518890059.324172441	2
npb	_2_4	6.294536587	1518890065.618709028	1
npb	_2_4	6.331116214	1518890071.949825242	2
npb	_2_4	107.585924006	1518890179.535749248	1
npb	_2_4	107.224794478	1518890286.760543726	2
npb	_2_4	42.544263844	1518890329.304807570	1
npb	_2_4	42.614074487	1518890371.918882057	2
npb	_2_4	10.439395681	1518890382.358277738	1
npb	_2_4	10.429705956	1518890392.787983694	2
npb	_2_4	34.096639051	1518890426.884622745	1
npb	_2_4	33.262376734	1518890460.146999479	2
npb	_2_4	28.030983251	1518890488.177982730	1
npb	_2_4	27.775436569	1518890515.953419299	2
