Element	Step	dT	TimeStamp	Nops
npb	bt_2_18	54.468783640	1519584495.934764057	1
npb	bt_2_18_total	.002440649	1519584495.937204706	68346.41
npb	bt_2_18_perprocess	.002410766	1519584495.939615472	1898.51
npb	sp_2_18	52.845357351	1519584548.784972823	1
npb	sp_2_18_total	.002489719	1519584548.787462542	35790.70
npb	sp_2_18_perprocess	.002471999	1519584548.789934541	994.19
npb	is_2_16	17.144997166	1519584565.934931707	1
npb	is_2_16_total	.002498319	1519584565.937430026	1230.96
npb	is_2_16_perprocess	.002403905	1519584565.939833931	38.47
npb	lu_2_16	39.877176542	1519584605.817010473	1
npb	lu_2_16_total	.002459788	1519584605.819470261	71423.17
npb	lu_2_16_perprocess	.002461490	1519584605.821931751	2231.97
npb	ft_2_16	25.248742431	1519584631.070674182	1
npb	ft_2_16_total	.003290637	1519584631.073964819	31437.05
npb	ft_2_16_perprocess	.002434659	1519584631.076399478	982.41
npb	mg_2_16	14.490813608	1519584645.567213086	1
npb	mg_2_16_total	.002490548	1519584645.569703634	46492.23
npb	mg_2_16_perprocess	.002475044	1519584645.572178678	1452.88
npb	cg_2_16	17.807034345	1519584663.379213023	1
npb	cg_2_16_total	.002513429	1519584663.381726452	21313.67
npb	cg_2_16_perprocess	.002399922	1519584663.384126374	666.05
npb	ep_2_16	16.657169379	1519584680.041295753	1
npb	ep_2_16_total	.002421062	1519584680.043716815	1451.62
npb	ep_2_16_perprocess	.002371493	1519584680.046088308	45.36
npb	is_2_8	10.633321005	1519584690.679409313	1
npb	is_2_8_total	.002474863	1519584690.681884176	917.26
npb	is_2_8_perprocess	.002519798	1519584690.684403974	57.33
npb	lu_2_8	52.368645084	1519584743.053049058	1
npb	lu_2_8_total	.002445220	1519584743.055494278	44126.61
npb	lu_2_8_perprocess	.002386916	1519584743.057881194	2757.91
npb	ft_2_8	25.929638798	1519584768.987519992	1
npb	ft_2_8_total	.002517952	1519584768.990037944	20908.92
npb	ft_2_8_perprocess	.002434764	1519584768.992472708	1306.81
npb	mg_2_8	10.408660132	1519584779.401132840	1
npb	mg_2_8_total	.002507682	1519584779.403640522	35857.90
npb	mg_2_8_perprocess	.002427105	1519584779.406067627	2241.12
npb	cg_2_8	21.104597465	1519584800.510665092	1
npb	cg_2_8_total	.002485752	1519584800.513150844	9616.71
npb	cg_2_8_perprocess	.002423347	1519584800.515574191	601.04
npb	ep_2_8	17.278506083	1519584817.794080274	1
npb	ep_2_8_total	.002541906	1519584817.796622180	738.99
npb	ep_2_8_perprocess	.002398777	1519584817.799020957	46.19
npb	bt_2_8	101.844021281	1519584919.643042238	1
npb	bt_2_8_total	.002505891	1519584919.645548129	30025.99
npb	bt_2_8_perprocess	.002413491	1519584919.647961620	1876.62
npb	sp_2_8	62.894035115	1519584982.541996735	1
npb	sp_2_8_total	.002473113	1519584982.544469848	25495.67
npb	sp_2_8_perprocess	.002463811	1519584982.546933659	1593.48
npb	is_1_16	17.437361814	1519584999.984295473	1
npb	is_1_16_total	.002395133	1519584999.986690606	1044.38
npb	is_1_16_perprocess	.002474993	1519584999.989165599	65.27
npb	lu_1_16	64.017032622	1519585064.006198221	1
npb	lu_1_16_total	.002446660	1519585064.008644881	38558.59
npb	lu_1_16_perprocess	.002440714	1519585064.011085595	2409.91
npb	ft_1_16	33.379638454	1519585097.390724049	1
npb	ft_1_16_total	.002441375	1519585097.393165424	18281.13
npb	ft_1_16_perprocess	.002420491	1519585097.395585915	1142.57
