Element	Step	dT	TimeStamp	Nops
npb	_1_1	41.451507448	1517342870.323205105	1
npb	_1_1	643.340432746	1517343513.663637851	1
npb	_1_1	278.783489109	1517343792.447126960	1
npb	_1_1	67.005152633	1517343859.452279593	1
npb	_1_1	253.316549930	1517344112.768829523	1
npb	_1_1	186.249688501	1517344299.018518024	1
npb	_1_1	773.259827835	1517345072.278345859	1
npb	_1_2	21.744794153	1517345094.023140012	1
npb	_1_2	330.640729307	1517345424.663869319	1
npb	_1_2	135.052020996	1517345559.715890315	1
npb	_1_2	34.814035703	1517345594.529926018	1
npb	_1_2	125.291011256	1517345719.820937274	1
npb	_1_2	94.018574153	1517345813.839511427	1
npb	_1_4	13.450608049	1517345827.290119476	1
npb	_1_4	13.441799369	1517345840.731918845	2
npb	_1_4	166.990002331	1517346007.721921176	1
npb	_1_4	167.120374178	1517346174.842295354	2
npb	_1_4	71.978650297	1517346246.820945651	1
npb	_1_4	71.978994975	1517346318.799940626	2
npb	_1_4	20.594638279	1517346339.394578905	1
npb	_1_4	20.494351641	1517346359.888930546	2
npb	_1_4	66.142007247	1517346426.030937793	1
npb	_1_4	66.528539277	1517346492.559477070	2
npb	_1_4	49.128499393	1517346541.687976463	1
npb	_1_4	49.230951902	1517346590.918928365	2
npb	_1_4	214.009169799	1517346804.928098164	1
npb	_1_4	213.124064851	1517347018.052163015	2
npb	_1_8	12.362790525	1517347030.414953540	1
npb	_1_8	12.256053245	1517347042.671006785	2
npb	_1_8	95.500169903	1517347138.171176688	1
npb	_1_8	95.430318408	1517347233.601495096	2
npb	_1_8	42.229166595	1517347275.830661691	1
npb	_1_8	42.602059400	1517347318.432721091	2
npb	_1_8	13.949719329	1517347332.382440420	1
npb	_1_8	13.952495210	1517347346.334935630	2
npb	_1_8	33.686592826	1517347380.021528456	1
npb	_1_8	33.826710794	1517347413.848239250	2
npb	_1_8	28.575054500	1517347442.423293750	1
npb	_1_8	28.563652859	1517347470.986946609	2
npb	_1_9	135.809003470	1517347606.795950079	1
npb	_1_9	136.402650158	1517347743.198600237	2
npb	_1_16	17.583928589	1517347760.782528826	1
npb	_1_16	17.443764910	1517347778.226293736	2
npb	_1_16	17.450631360	1517347795.676925096	3
npb	_1_16	64.151982934	1517347859.828908030	1
npb	_1_16	63.891119184	1517347923.720027214	2
npb	_1_16	63.765531822	1517347987.485559036	3
npb	_1_16	33.347354498	1517348020.832913534	1
npb	_1_16	33.307017437	1517348054.139930971	2
npb	_1_16	33.348989657	1517348087.488920628	3
npb	_1_16	17.348202514	1517348104.837123142	1
npb	_1_16	17.230066620	1517348122.067189762	2
npb	_1_16	17.187734177	1517348139.254923939	3
npb	_1_16	27.964694144	1517348167.219618083	1
npb	_1_16	27.863312634	1517348195.082930717	2
npb	_1_16	27.843205119	1517348222.926135836	3
npb	_1_16	24.080198462	1517348247.006334298	1
npb	_1_16	22.191053705	1517348269.197388003	2
npb	_1_16	22.078441766	1517348291.275829769	3
npb	_1_16	113.799548414	1517348405.075378183	1
npb	_1_16	113.569889588	1517348518.645267771	2
npb	_1_16	113.447341128	1517348632.092608899	3
npb	_2_1	21.098345573	1517348653.190954472	1
npb	_2_1	323.659953390	1517348976.850907862	1
npb	_2_1	134.413007812	1517349111.263915674	1
npb	_2_1	33.512990445	1517349144.776906119	1
npb	_2_1	120.005044031	1517349264.781950150	1
npb	_2_1	93.701951414	1517349358.483901564	1
npb	_2_2	12.060020520	1517349370.543922084	1
npb	_2_2	12.018405947	1517349382.562328031	2
npb	_2_2	165.005600456	1517349547.567928487	1
npb	_2_2	164.954111170	1517349712.522039657	2
npb	_2_2	71.053931915	1517349783.575971572	1
npb	_2_2	71.529949296	1517349855.105920868	2
npb	_2_2	19.384460442	1517349874.490381310	1
npb	_2_2	19.391563326	1517349893.881944636	2
npb	_2_2	62.522973306	1517349956.404917942	1
npb	_2_2	62.536180643	1517350018.941098585	2
npb	_2_2	48.716806159	1517350067.657904744	1
npb	_2_2	48.254384795	1517350115.912289539	2
npb	_2_2	199.488643667	1517350315.400933206	1
npb	_2_2	199.721672865	1517350515.122606071	2
npb	_2_4	8.964576840	1517350524.087182911	1
npb	_2_4	8.893868407	1517350532.981051318	2
npb	_2_4	89.407469905	1517350622.388521223	1
npb	_2_4	89.332137080	1517350711.720658303	2
npb	_2_4	39.426803626	1517350751.147461929	1
npb	_2_4	39.293845168	1517350790.441307097	2
npb	_2_4	11.251562220	1517350801.692869317	1
npb	_2_4	11.249814148	1517350812.942683465	2
npb	_2_4	29.220910525	1517350842.163593990	1
npb	_2_4	29.266640328	1517350871.430234318	2
npb	_2_4	26.301442202	1517350897.731676520	1
npb	_2_4	26.323244981	1517350924.054921501	2
npb	_2_8	10.537733886	1517350934.592655387	1
npb	_2_8	10.469684709	1517350945.062340096	2
npb	_2_8	10.487089169	1517350955.549429265	3
npb	_2_8	52.239993728	1517351007.789422993	1
npb	_2_8	52.187524295	1517351059.976947288	2
npb	_2_8	52.378982996	1517351112.355930284	3
npb	_2_8	25.899428916	1517351138.255359200	1
npb	_2_8	25.689181592	1517351163.944540792	2
npb	_2_8	25.856261663	1517351189.800802455	3
npb	_2_8	10.438117895	1517351200.238920350	1
npb	_2_8	10.409958383	1517351210.648878733	2
npb	_2_8	10.433038072	1517351221.081916805	3
npb	_2_8	21.089744990	1517351242.171661795	1
npb	_2_8	21.010261331	1517351263.181923126	2
npb	_2_8	21.033913857	1517351284.215836983	3
npb	_2_8	17.220122073	1517351301.435959056	1
npb	_2_8	17.271963756	1517351318.707922812	2
npb	_2_8	17.156721499	1517351335.864644311	3
npb	_2_8	62.935881315	1517351398.800525626	1
npb	_2_8	62.985423826	1517351461.785949452	2
npb	_2_8	62.977425358	1517351524.763374810	3
npb	_2_16	17.118274320	1517351541.881649130	1
npb	_2_16	17.052279266	1517351558.933928396	2
npb	_2_16	17.059815084	1517351575.993743480	3
npb	_2_16	39.581368103	1517351615.575111583	1
npb	_2_16	39.749801217	1517351655.324912800	2
npb	_2_16	39.551311848	1517351694.876224648	3
npb	_2_16	25.173448066	1517351720.049672714	1
npb	_2_16	25.201994315	1517351745.251667029	2
npb	_2_16	25.251993135	1517351770.503660164	3
npb	_2_16	14.472601990	1517351784.976262154	1
