Element	Step	dT	TimeStamp	Nops
npb	bt_6_24	8.656526047	1547215761.613760425	1
npb	bt_6_24_total	.003535893	1547215761.617296318	383913.40
npb	bt_6_24_perprocess	.003053821	1547215761.620350139	2666.07
npb	bt_6_24	8.545823532	1547215770.166173671	2
npb	bt_6_24_total	.002860832	1547215770.169034503	384325.19
npb	bt_6_24_perprocess	.003102014	1547215770.172136517	2668.92
npb	bt_6_24	8.725702719	1547215778.897839236	3
npb	bt_6_24_total	.003030971	1547215778.900870207	385413.23
npb	bt_6_24_perprocess	.004722112	1547215778.905592319	2676.48
npb	bt_6_24	8.498065576	1547215787.403657895	4
npb	bt_6_24_total	.003245745	1547215787.406903640	382462.66
npb	bt_6_24_perprocess	.004777960	1547215787.411681600	2655.99
npb	bt_6_24	8.501581931	1547215795.913263531	5
npb	bt_6_24_total	.002887942	1547215795.916151473	382894.20
npb	bt_6_24_perprocess	.003154654	1547215795.919306127	2658.99
npb	sp_6_24	7.458293483	1547215803.377599610	1
npb	sp_6_24_total	.003205748	1547215803.380805358	226322.67
npb	sp_6_24_perprocess	.004498544	1547215803.385303902	1571.69
npb	sp_6_24	7.727664618	1547215811.112968520	2
npb	sp_6_24_total	.003500910	1547215811.116469430	225662.04
npb	sp_6_24_perprocess	.002942459	1547215811.119411889	1567.10
npb	sp_6_24	7.556792173	1547215818.676204062	3
npb	sp_6_24_total	.003052283	1547215818.679256345	226448.06
npb	sp_6_24_perprocess	.004622385	1547215818.683878730	1572.56
npb	sp_6_24	7.661598017	1547215826.345476747	4
npb	sp_6_24_total	.003021001	1547215826.348497748	226392.81
npb	sp_6_24_perprocess	.005097388	1547215826.353595136	1572.17
npb	sp_6_24	7.489244639	1547215833.842839775	5
npb	sp_6_24_total	.002959332	1547215833.845799107	225719.69
npb	sp_6_24_perprocess	.003208311	1547215833.849007418	1567.50
npb	bt_6_6	27.046418806	1547215860.895426224	1
npb	bt_6_6_total	.002857411	1547215860.898283635	109570.16
npb	bt_6_6_perprocess	.005332602	1547215860.903616237	3043.62
npb	bt_6_6	27.068328086	1547215887.971944323	2
npb	bt_6_6_total	.003036136	1547215887.974980459	109500.02
npb	bt_6_6_perprocess	.002975535	1547215887.977955994	3041.67
npb	bt_6_6	27.304323481	1547215915.282279475	3
npb	bt_6_6_total	.003095799	1547215915.285375274	109613.87
npb	bt_6_6_perprocess	.003146455	1547215915.288521729	3044.83
npb	bt_6_6	27.071894910	1547215942.360416639	4
npb	bt_6_6_total	.002759703	1547215942.363176342	109544.30
npb	bt_6_6_perprocess	.003209984	1547215942.366386326	3042.90
npb	bt_6_6	27.345899756	1547215969.712286082	5
npb	bt_6_6_total	.003333106	1547215969.715619188	109485.22
npb	bt_6_6_perprocess	.003116408	1547215969.718735596	3041.26
npb	sp_6_6	18.108159521	1547215987.826895117	1
npb	sp_6_6_total	.002927901	1547215987.829823018	83681.45
npb	sp_6_6_perprocess	.003176647	1547215987.832999665	2324.48
npb	sp_6_6	18.076643524	1547216005.909643189	2
npb	sp_6_6_total	.003208510	1547216005.912851699	83827.03
npb	sp_6_6_perprocess	.004721946	1547216005.917573645	2328.53
npb	sp_6_6	18.550418956	1547216024.467992601	3
npb	sp_6_6_total	.002804413	1547216024.470797014	83683.48
npb	sp_6_6_perprocess	.002784551	1547216024.473581565	2324.54
npb	sp_6_6	18.322837977	1547216042.796419542	4
npb	sp_6_6_total	.003221755	1547216042.799641297	83703.24
npb	sp_6_6_perprocess	.004999406	1547216042.804640703	2325.09
npb	sp_6_6	18.369903327	1547216061.174544030	5
npb	sp_6_6_total	.003112801	1547216061.177656831	83939.28
npb	sp_6_6_perprocess	.004841133	1547216061.182497964	2331.65
npb	bt_5_20	11.568185917	1547216072.750683881	1
npb	bt_5_20_total	.003302396	1547216072.753986277	275828.37
npb	bt_5_20_perprocess	.004889926	1547216072.758876203	2758.28
npb	bt_5_20	11.365851143	1547216084.124727346	2
npb	bt_5_20_total	.003204042	1547216084.127931388	277228.24
npb	bt_5_20_perprocess	.003177240	1547216084.131108628	2772.28
npb	bt_5_20	11.709560107	1547216095.840668735	3
npb	bt_5_20_total	.003500728	1547216095.844169463	277971.71
npb	bt_5_20_perprocess	.003197029	1547216095.847366492	2779.72
npb	bt_5_20	11.434302883	1547216107.281669375	4
npb	bt_5_20_total	.003042996	1547216107.284712371	276965.17
npb	bt_5_20_perprocess	.002932367	1547216107.287644738	2769.65
npb	bt_5_20	11.416301345	1547216118.703946083	5
npb	bt_5_20_total	.002836731	1547216118.706782814	277694.38
npb	bt_5_20_perprocess	.005174028	1547216118.711956842	2776.94
npb	sp_5_20	9.014502735	1547216127.726459577	1
npb	sp_5_20_total	.003346827	1547216127.729806404	186626.87
npb	sp_5_20_perprocess	.005113818	1547216127.734920222	1866.27
npb	sp_5_20	8.962748926	1547216136.697669148	2
npb	sp_5_20_total	.003269487	1547216136.700938635	186633.32
npb	sp_5_20_perprocess	.003115764	1547216136.704054399	1866.33
npb	sp_5_20	9.020733495	1547216145.724787894	3
npb	sp_5_20_total	.003190662	1547216145.727978556	186803.92
npb	sp_5_20_perprocess	.003046370	1547216145.731024926	1868.04
npb	sp_5_20	8.783436532	1547216154.514461458	4
npb	sp_5_20_total	.002998675	1547216154.517460133	186503.57
npb	sp_5_20_perprocess	.003053236	1547216154.520513369	1865.04
npb	sp_5_20	9.031174540	1547216163.551687909	5
npb	sp_5_20_total	.002968878	1547216163.554656787	186681.12
npb	sp_5_20_perprocess	.003372402	1547216163.558029189	1866.81
npb	bt_5_5	40.038220917	1547216203.596250106	1
npb	bt_5_5_total	.003072169	1547216203.599322275	73751.78
npb	bt_5_5_perprocess	.003178370	1547216203.602500645	2950.07
npb	bt_5_5	40.118110240	1547216243.720610885	2
npb	bt_5_5_total	.003306780	1547216243.723917665	73756.00
npb	bt_5_5_perprocess	.003413324	1547216243.727330989	2950.24
npb	bt_5_5	39.977695581	1547216283.705026570	3
npb	bt_5_5_total	.002954135	1547216283.707980705	73704.54
npb	bt_5_5_perprocess	.003482384	1547216283.711463089	2948.18
npb	bt_5_5	41.528759884	1547216325.240222973	4
npb	bt_5_5_total	.003504174	1547216325.243727147	70857.93
npb	bt_5_5_perprocess	.003151856	1547216325.246879003	2834.32
npb	bt_5_5	45.802796536	1547216371.049675539	5
npb	bt_5_5_total	.003260408	1547216371.052935947	64194.37
npb	bt_5_5_perprocess	.003277014	1547216371.056212961	2567.77
npb	sp_5_5	23.666312640	1547216394.722525601	1
npb	sp_5_5_total	.003234783	1547216394.725760384	63825.88
npb	sp_5_5_perprocess	.003278517	1547216394.729038901	2553.04
npb	sp_5_5	23.763166656	1547216418.492205557	2
npb	sp_5_5_total	.002731693	1547216418.494937250	63758.53
npb	sp_5_5_perprocess	.002460248	1547216418.497397498	2550.34
npb	sp_5_5	23.786468518	1547216442.283866016	3
npb	sp_5_5_total	.002961263	1547216442.286827279	63690.46
npb	sp_5_5_perprocess	.003308157	1547216442.290135436	2547.62
npb	sp_5_5	23.802463719	1547216466.092599155	4
npb	sp_5_5_total	.003254838	1547216466.095853993	63643.01
npb	sp_5_5_perprocess	.003110966	1547216466.098964959	2545.72
npb	sp_5_5	23.724111797	1547216489.823076756	5
npb	sp_5_5_total	.002840036	1547216489.825916792	63849.85
npb	sp_5_5_perprocess	.003176728	1547216489.829093520	2553.99
npb	bt_4_36	9.327745138	1547216499.156838658	1
npb	bt_4_36_total	.003332605	1547216499.160171263	356928.41
npb	bt_4_36_perprocess	.003248719	1547216499.163419982	2478.67
npb	bt_4_36	9.358455094	1547216508.521875076	2
npb	bt_4_36_total	.003381198	1547216508.525256274	356197.57
npb	bt_4_36_perprocess	.005445769	1547216508.530702043	2473.59
npb	bt_4_36	9.471132107	1547216518.001834150	3
npb	bt_4_36_total	.003223695	1547216518.005057845	356368.21
npb	bt_4_36_perprocess	.004967620	1547216518.010025465	2474.78
npb	bt_4_36	9.396287341	1547216527.406312806	4
npb	bt_4_36_total	.003046538	1547216527.409359344	355934.64
npb	bt_4_36_perprocess	.004761245	1547216527.414120589	2471.77
npb	bt_4_36	9.353741196	1547216536.767861785	5
npb	bt_4_36_total	.003177389	1547216536.771039174	356115.83
npb	bt_4_36_perprocess	.005094138	1547216536.776133312	2473.03
npb	sp_4_36	8.876560131	1547216545.652693443	1
npb	sp_4_36_total	.003251042	1547216545.655944485	192392.75
npb	sp_4_36_perprocess	.003500749	1547216545.659445234	1336.06
npb	sp_4_36	8.925778662	1547216554.585223896	2
npb	sp_4_36_total	.003087489	1547216554.588311385	191635.75
npb	sp_4_36_perprocess	.002964144	1547216554.591275529	1330.80
npb	sp_4_36	8.858342430	1547216563.449617959	3
npb	sp_4_36_total	.003193636	1547216563.452811595	192401.06
npb	sp_4_36_perprocess	.004948318	1547216563.457759913	1336.12
npb	sp_4_36	8.832051696	1547216572.289811609	4
npb	sp_4_36_total	.002962149	1547216572.292773758	192413.94
npb	sp_4_36_perprocess	.005141830	1547216572.297915588	1336.21
npb	sp_4_36	9.138680528	1547216581.436596116	5
npb	sp_4_36_total	.002898146	1547216581.439494262	192440.76
npb	sp_4_36_perprocess	.003288323	1547216581.442782585	1336.39
npb	is_4_32	4.961914311	1547216586.404696896	1
npb	is_4_32_total	.003163977	1547216586.407860873	4028.49
npb	is_4_32_perprocess	.003072380	1547216586.410933253	31.47
npb	is_4_32	5.205115142	1547216591.616048395	2
npb	is_4_32_total	.003416374	1547216591.619464769	4114.33
npb	is_4_32_perprocess	.003333772	1547216591.622798541	32.14
npb	is_4_32	5.197631446	1547216596.820429987	3
npb	is_4_32_total	.003502093	1547216596.823932080	4046.51
npb	is_4_32_perprocess	.002964365	1547216596.826896445	31.61
npb	is_4_32	4.958757972	1547216601.785654417	4
npb	is_4_32_total	.003162302	1547216601.788816719	4142.26
npb	is_4_32_perprocess	.003144466	1547216601.791961185	32.36
npb	is_4_32	5.131349945	1547216606.923311130	5
npb	is_4_32_total	.003281277	1547216606.926592407	3967.89
npb	is_4_32_perprocess	.003161460	1547216606.929753867	31.00
npb	lu_4_32	6.732974627	1547216613.662728494	1
npb	lu_4_32_total	.002969826	1547216613.665698320	360716.47
npb	lu_4_32_perprocess	.003191835	1547216613.668890155	2818.10
npb	lu_4_32	6.720197779	1547216620.389087934	2
npb	lu_4_32_total	.003338694	1547216620.392426628	361490.80
npb	lu_4_32_perprocess	.004967843	1547216620.397394471	2824.15
npb	lu_4_32	6.731137981	1547216627.128532452	3
npb	lu_4_32_total	.002998459	1547216627.131530911	359003.00
npb	lu_4_32_perprocess	.004962333	1547216627.136493244	2804.71
npb	lu_4_32	6.651399716	1547216633.787892960	4
npb	lu_4_32_total	.003043842	1547216633.790936802	361174.16
npb	lu_4_32_perprocess	.003025534	1547216633.793962336	2821.67
