Element	Step	dT	TimeStamp	Nops
npb	is_2_8	4.698614318	1519580257.822546591	1
npb	is_2_8_total	.010652522	1519580257.833199113	1
npb	is_2_8_perprocess	.009937952	1519580257.843137065	1
npb	lu_2_8	67.578681517	1519580325.421818582	1
npb	lu_2_8_total	.010392794	1519580325.432211376	1
npb	lu_2_8_perprocess	.010416652	1519580325.442628028	1
npb	ft_2_8	32.558595943	1519580358.001223971	1
npb	ft_2_8_total	.008994781	1519580358.010218752	1
npb	ft_2_8_perprocess	.008646405	1519580358.018865157	1
npb	mg_2_8	11.053809208	1519580369.072674365	1
npb	mg_2_8_total	.010952773	1519580369.083627138	1
npb	mg_2_8_perprocess	.025349955	1519580369.108977093	1
npb	cg_2_8	22.907717660	1519580392.016694753	1
npb	cg_2_8_total	.019253888	1519580392.035948641	1
npb	cg_2_8_perprocess	.010571780	1519580392.046520421	1
npb	ep_2_8	19.207187468	1519580411.253707889	1
npb	ep_2_8_total	.009628522	1519580411.263336411	1
npb	ep_2_8_perprocess	.009310954	1519580411.272647365	1
npb	bt_2_8	111.950416766	1519580523.223064131	1
npb	bt_2_8_total	.010983181	1519580523.234047312	1
npb	bt_2_8_perprocess	.009006424	1519580523.243053736	1
npb	sp_2_8	113.925047950	1519580637.168101686	1
npb	sp_2_8_total	.011303374	1519580637.179405060	1
npb	sp_2_8_perprocess	.009214816	1519580637.188619876	1
npb	is_2_4	7.963520643	1519580645.152140519	1
npb	is_2_4_total	.013519381	1519580645.165659900	1
npb	is_2_4_perprocess	.031919939	1519580645.197579839	1
npb	lu_2_4	117.200390561	1519580762.397970400	1
npb	lu_2_4_total	.013053488	1519580762.411023888	1
npb	lu_2_4_perprocess	.009627304	1519580762.420651192	1
npb	ft_2_4	49.558037893	1519580811.978689085	1
npb	ft_2_4_total	.009260899	1519580811.987949984	1
npb	ft_2_4_perprocess	.010215824	1519580811.998165808	1
npb	mg_2_4	13.663999104	1519580825.662164912	1
npb	mg_2_4_total	.062760825	1519580825.724925737	1
npb	mg_2_4_perprocess	.011331747	1519580825.736257484	1
npb	cg_2_4	31.113575469	1519580856.849832953	1
npb	cg_2_4_total	.014449489	1519580856.864282442	1
npb	cg_2_4_perprocess	.017973320	1519580856.882255762	1
npb	ep_2_4	34.980983365	1519580891.863239127	1
npb	ep_2_4_total	.009742327	1519580891.872981454	1
npb	ep_2_4_perprocess	.008493010	1519580891.881474464	1
npb	bt_2_2	363.174270537	1519581255.055745001	1
npb	bt_2_2_total	.011157051	1519581255.066902052	1
npb	bt_2_2_perprocess	.008984889	1519581255.075886941	1
npb	sp_2_2	253.333201345	1519581508.409088286	1
npb	sp_2_2_total	.011907009	1519581508.420995295	1
npb	sp_2_2_perprocess	.009295410	1519581508.430290705	1
npb	bt_1_9	189.491789834	1519581697.922080539	1
npb	bt_1_9_total	.013320980	1519581697.935401519	1
npb	bt_1_9_perprocess	.008851112	1519581697.944252631	1
npb	sp_1_9	234.729817706	1519581932.674070337	1
npb	sp_1_9_total	.020786871	1519581932.694857208	1
npb	sp_1_9_perprocess	.011148787	1519581932.706005995	1
npb	is_1_8	6.137793023	1519581938.843799018	1
npb	is_1_8_total	.011418893	1519581938.855217911	1
npb	is_1_8_perprocess	.009868361	1519581938.865086272	1
npb	lu_1_8	131.207221445	1519582070.072307717	1
npb	lu_1_8_total	.011478061	1519582070.083785778	1
npb	lu_1_8_perprocess	.010233737	1519582070.094019515	1
npb	ft_1_8	61.608552320	1519582131.702571835	1
npb	ft_1_8_total	.010724532	1519582131.713296367	1
npb	ft_1_8_perprocess	.012576950	1519582131.725873317	1
npb	mg_1_8	16.187857219	1519582147.913730536	1
npb	mg_1_8_total	.026319453	1519582147.940049989	1
npb	mg_1_8_perprocess	.010190143	1519582147.950240132	1
npb	cg_1_8	38.002026352	1519582185.952266484	1
npb	cg_1_8_total	.010147522	1519582185.962414006	1
npb	cg_1_8_perprocess	.009120290	1519582185.971534296	1
npb	ep_1_8	33.351188416	1519582219.322722712	1
npb	ep_1_8_total	.009882025	1519582219.332604737	1
npb	ep_1_8_perprocess	.008680222	1519582219.341284959	1
npb	is_1_4	10.207013989	1519582229.548298948	1
npb	is_1_4_total	.021229534	1519582229.569528482	1
npb	is_1_4_perprocess	.010886828	1519582229.580415310	1
npb	lu_1_4	218.698040583	1519582448.278455893	1
npb	lu_1_4_total	.011307945	1519582448.289763838	1
npb	lu_1_4_perprocess	.008688095	1519582448.298451933	1
npb	ft_1_4	89.163880784	1519582537.462332717	1
npb	ft_1_4_total	.011117010	1519582537.473449727	1
npb	ft_1_4_perprocess	.010442654	1519582537.483892381	1
npb	mg_1_4	24.904027372	1519582562.387919753	1
npb	mg_1_4_total	.009527434	1519582562.397447187	1
npb	mg_1_4_perprocess	.008642203	1519582562.406089390	1
npb	cg_1_4	65.322717117	1519582627.728806507	1
npb	cg_1_4_total	.011909726	1519582627.740716233	1
npb	cg_1_4_perprocess	.009756175	1519582627.750472408	1
npb	ep_1_4	66.073979746	1519582693.824452154	1
npb	ep_1_4_total	.011479199	1519582693.835931353	1
npb	ep_1_4_perprocess	.009859416	1519582693.845790769	1
npb	bt_1_4	368.425624660	1519583062.271415429	1
npb	bt_1_4_total	.012508448	1519583062.283923877	1
npb	bt_1_4_perprocess	.011339278	1519583062.295263155	1
npb	sp_1_4	285.506219888	1519583347.801483043	1
npb	sp_1_4_total	.012511294	1519583347.813994337	1
npb	sp_1_4_perprocess	.015436440	1519583347.829430777	1
