Element	Step	dT	TimeStamp	Nops
npb	is_2_16	5.136753117	1519811434.989979896	1
npb	is_2_16_total	.029017741	1519811435.018997637	1296.60
npb	is_2_16_perprocess	.016782694	1519811435.035780331	40.52
npb	lu_2_16	38.454103873	1519811473.489884204	1
npb	lu_2_16_total	.008876444	1519811473.498760648	60577.49
npb	lu_2_16_perprocess	.008241633	1519811473.507002281	1893.05
npb	ft_2_16	20.194094872	1519811493.701097153	1
npb	ft_2_16_total	.009796528	1519811493.710893681	24569.88
npb	ft_2_16_perprocess	.010814913	1519811493.721708594	767.81
npb	mg_2_16	7.137448193	1519811500.859156787	1
npb	mg_2_16_total	.009707338	1519811500.868864125	40012.21
npb	mg_2_16_perprocess	.008932854	1519811500.877796979	1250.38
npb	cg_2_16	13.842215280	1519811514.720012259	1
npb	cg_2_16_total	.009856364	1519811514.729868623	13358.92
npb	cg_2_16_perprocess	.009706007	1519811514.739574630	417.47
npb	ep_2_16	10.175165372	1519811524.914740002	1
npb	ep_2_16_total	.009291460	1519811524.924031462	1158.89
npb	ep_2_16_perprocess	.008574937	1519811524.932606399	36.22
npb	is_2_8	5.720110925	1519811530.652717324	1
npb	is_2_8_total	.010901386	1519811530.663618710	931.06
npb	is_2_8_perprocess	.008645724	1519811530.672264434	58.19
npb	lu_2_8	52.511035843	1519811583.183300277	1
npb	lu_2_8_total	.009998648	1519811583.193298925	41365.56
npb	lu_2_8_perprocess	.012268386	1519811583.205567311	2585.35
npb	ft_2_8	25.468852427	1519811608.674419738	1
npb	ft_2_8_total	.009280101	1519811608.683699839	17600.78
npb	ft_2_8_perprocess	.009149195	1519811608.692849034	1100.05
npb	mg_2_8	7.255077067	1519811615.947926101	1
npb	mg_2_8_total	.008599093	1519811615.956525194	37753.86
npb	mg_2_8_perprocess	.008302393	1519811615.964827587	2359.62
npb	cg_2_8	19.643678696	1519811635.608506283	1
npb	cg_2_8_total	.009207348	1519811635.617713631	8696.37
npb	cg_2_8_perprocess	.008178571	1519811635.625892202	543.52
npb	ep_2_8	16.102930659	1519811651.728822861	1
npb	ep_2_8_total	.009800970	1519811651.738623831	641.72
npb	ep_2_8_perprocess	.008538074	1519811651.747161905	40.11
npb	bt_2_8	100.352026940	1519811752.099188845	1
