Element	Step	dT	TimeStamp	Nops
npb	is_2_16	66.958959326	1519800241.161533021	1
npb	is_2_16_total	.002035736	1519800241.163568757	615.89
npb	is_2_16_perprocess	.001921940	1519800241.165490697	19.25
npb	lu_2_16	106.303606314	1519800347.469097011	1
npb	lu_2_16_total	.002006537	1519800347.471103548	45753.81
npb	lu_2_16_perprocess	.001897941	1519800347.473001489	1429.81
npb	ft_2_16	89.211190975	1519800436.684192464	1
npb	ft_2_16_total	.002039336	1519800436.686231800	15149.12
npb	ft_2_16_perprocess	.001941639	1519800436.688173439	473.41
npb	mg_2_16	66.094597629	1519800502.782771068	1
npb	mg_2_16_total	.002015337	1519800502.784786405	35056.57
npb	mg_2_16_perprocess	.001818043	1519800502.786604448	1095.52
npb	cg_2_16	71.408324830	1519800574.194929278	1
npb	cg_2_16_total	.001978538	1519800574.196907816	14564.19
npb	cg_2_16_perprocess	.001898841	1519800574.198806657	455.13
npb	ep_2_16	67.283044892	1519800641.481851549	1
npb	ep_2_16_total	.001982438	1519800641.483833987	1406.18
npb	ep_2_16_perprocess	.001879441	1519800641.485713428	43.94
npb	is_2_8	64.856288360	1519800706.342001788	1
npb	is_2_8_total	.001987437	1519800706.343989225	601.23
npb	is_2_8_perprocess	.001984038	1519800706.345973263	37.58
npb	lu_2_8	110.599668922	1519800816.945642185	1
npb	lu_2_8_total	.002007340	1519800816.947649525	41332.03
npb	lu_2_8_perprocess	.001933542	1519800816.949583067	2583.25
npb	ft_2_8	86.222435817	1519800903.172018884	1
npb	ft_2_8_total	.002003461	1519800903.174022345	16776.06
npb	ft_2_8_perprocess	.002032558	1519800903.176054903	1048.50
npb	mg_2_8	66.403653584	1519800969.579708487	1
npb	mg_2_8_total	.001982835	1519800969.581691322	30548.70
npb	mg_2_8_perprocess	.001861246	1519800969.583552568	1909.29
npb	cg_2_8	82.439953827	1519801052.023506395	1
npb	cg_2_8_total	.002094180	1519801052.025600575	6760.89
npb	cg_2_8_perprocess	.002042282	1519801052.027642857	422.56
npb	ep_2_8	70.714255504	1519801122.741898361	1
npb	ep_2_8_total	.002056831	1519801122.743955192	851.12
npb	ep_2_8_perprocess	.001919036	1519801122.745874228	53.19
npb	bt_2_8	160.462688180	1519801283.208562408	1
npb	bt_2_8_total	.002098731	1519801283.210661139	28930.20
npb	bt_2_8_perprocess	.001996634	1519801283.212657773	1808.14
npb	sp_2_8	138.863203749	1519801422.075861522	1
npb	sp_2_8_total	.002146830	1519801422.078008352	18632.36
npb	sp_2_8_perprocess	.002058433	1519801422.080066785	1164.52
npb	bt_2_2	370.129950547	1519801792.210017332	1
npb	bt_2_2_total	.002079534	1519801792.212096866	9318.21
npb	bt_2_2_perprocess	.001990637	1519801792.214087503	2329.55
npb	sp_2_2	283.534956170	1519802075.749043673	1
npb	sp_2_2_total	.001996139	1519802075.751039812	6531.33
npb	sp_2_2_perprocess	.002160133	1519802075.753199945	1632.83
npb	is_1_16	65.145652962	1519802140.898852907	1
npb	is_1_16_total	.002348728	1519802140.901201635	532.78
npb	is_1_16_perprocess	.002056236	1519802140.903257871	33.30
npb	lu_1_16	109.463748163	1519802250.367006034	1
npb	lu_1_16_total	.002124935	1519802250.369130969	42186.81
npb	lu_1_16_perprocess	.002054737	1519802250.371185706	2636.68
npb	ft_1_16	86.221799263	1519802336.592984969	1
npb	ft_1_16_total	.002014640	1519802336.594999609	16831.11
npb	ft_1_16_perprocess	.001918743	1519802336.596918352	1051.94
