hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.5.8.out
cat machinefile
hpc-lhr2-02-rdma slots=8
hpc-lhr2-03-rdma slots=8
hpc-lhr2-04-rdma slots=8
hpc-lhr2-05-rdma slots=8
hpc-lhr2-06-rdma slots=8
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 40 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       6.67
8                       6.58
16                      6.19
32                      6.85
64                      7.22
128                     9.05
256                     9.35
512                    10.03
1024                   11.53
2048                   14.57
4096                   21.14
8192                   56.87
16384                  68.71
32768                  80.10
65536                 105.08
131072                155.53
262144                287.15
524288                626.39
1048576              1861.32
