hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.1.2.out
cat machinefile
hpc-lhr2-02-rdma slots=2
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 2 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       0.56
2                       0.57
4                       0.56
8                       0.56
16                      0.56
32                      0.82
64                      0.96
128                     1.01
256                     1.05
512                     1.10
1024                    1.29
2048                    1.58
4096                    2.18
8192                    4.09
16384                   6.66
32768                  12.24
65536                  23.25
131072                 53.30
262144                 33.53
524288                107.84
1048576               239.73
