hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.5.36.out
cat machinefile
hpc-lhr2-02-rdma slots=36
hpc-lhr2-03-rdma slots=36
hpc-lhr2-04-rdma slots=36
hpc-lhr2-05-rdma slots=36
hpc-lhr2-06-rdma slots=36
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 180 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                      31.98
2                      31.97
4                      33.13
8                      35.07
16                     38.12
32                     50.96
64                    121.43
128                   268.41
256                   707.83
512                   980.80
1024                 1291.71
2048                 2552.20
4096                 3816.10
8192                 8273.42
16384               15355.52
32768               29599.34
65536               57196.92
131072             114340.22
262144             220552.35
524288             457399.21
1048576            914865.68
