Element	Step	dT	TimeStamp	Nops
osu	Start	.010000142	1547202588.706640086	1
osu	latency	18.042630245	1547202606.749270331	1.48
osu	mbw_mr	3828.360361134	1547206435.109631465	12515.00
osu	alltoall_1_2	.522828632	1547206435.632460097	1
osu	barrier_1_2	.651885504	1547206436.284345601	1
osu	allreduce_1_2	.598920529	1547206436.883266130	1
osu	alltoall_1_4	.630961587	1547206437.514227717	1
osu	barrier_1_4	.868136228	1547206438.382363945	1
osu	allreduce_1_4	.682899416	1547206439.065263361	1
osu	alltoall_1_8	1.197265265	1547206440.262528626	1
osu	barrier_1_8	.958292435	1547206441.220821061	1
osu	allreduce_1_8	.761611592	1547206441.982432653	1
osu	alltoall_1_16	2.421494142	1547206444.403926795	1
osu	barrier_1_16	1.279209048	1547206445.683135843	1
osu	allreduce_1_16	.915864650	1547206446.599000493	1
osu	alltoall_1_32	5.440741990	1547206452.039742483	1
osu	barrier_1_32	1.643731638	1547206453.683474121	1
osu	allreduce_1_32	1.230613591	1547206454.914087712	1
osu	alltoall_1_36	6.608910569	1547206461.522998281	1
osu	barrier_1_36	2.120526425	1547206463.643524706	1
osu	allreduce_1_36	1.366899829	1547206465.010424535	1
osu	alltoall_2_1	.569504661	1547206465.579929196	1
osu	barrier_2_1	1.069757568	1547206466.649686764	1
osu	allreduce_2_1	.620733006	1547206467.270419770	1
osu	alltoall_2_2	.732611750	1547206468.003031520	1
osu	barrier_2_2	1.408966690	1547206469.411998210	1
osu	allreduce_2_2	.802396097	1547206470.214394307	1
osu	alltoall_2_4	1.073370010	1547206471.287764317	1
osu	barrier_2_4	1.631166843	1547206472.918931160	1
osu	allreduce_2_4	.851094161	1547206473.770025321	1
osu	alltoall_2_8	2.496687423	1547206476.266712744	1
osu	barrier_2_8	1.783800082	1547206478.050512826	1
osu	allreduce_2_8	.945185066	1547206478.995697892	1
osu	alltoall_2_16	7.209656159	1547206486.205354051	1
osu	barrier_2_16	2.155185878	1547206488.360539929	1
osu	allreduce_2_16	1.395568200	1547206489.756108129	1
osu	alltoall_2_32	24.504961612	1547206514.261069741	1
osu	barrier_2_32	2.576231338	1547206516.837301079	1
osu	allreduce_2_32	1.529555451	1547206518.366856530	1
osu	alltoall_2_36	34.371101244	1547206552.737957774	1
osu	barrier_2_36	4.373609852	1547206557.111567626	1
osu	allreduce_2_36	2.027919417	1547206559.139487043	1
osu	alltoall_3_1	.646616837	1547206559.786103880	1
osu	barrier_3_1	1.692707398	1547206561.478811278	1
osu	allreduce_3_1	.727328595	1547206562.206139873	1
osu	alltoall_3_2	.944270310	1547206563.150410183	1
osu	barrier_3_2	2.423864280	1547206565.574274463	1
osu	allreduce_3_2	1.088018401	1547206566.662292864	1
osu	alltoall_3_4	1.931907913	1547206568.594200777	1
osu	barrier_3_4	2.786005750	1547206571.380206527	1
osu	allreduce_3_4	1.224430356	1547206572.604636883	1
osu	alltoall_3_8	5.971850953	1547206578.576487836	1
osu	barrier_3_8	3.011601107	1547206581.588088943	1
osu	allreduce_3_8	1.152656801	1547206582.740745744	1
osu	alltoall_3_16	22.717454618	1547206605.458200362	1
osu	barrier_3_16	3.561884304	1547206609.020084666	1
osu	allreduce_3_16	1.499789294	1547206610.519873960	1
osu	alltoall_3_32	93.096398076	1547206703.616272036	1
osu	barrier_3_32	4.044755259	1547206707.661027295	1
osu	allreduce_3_32	2.096908999	1547206709.757936294	1
osu	alltoall_3_36	114.794274556	1547206824.552210850	1
osu	barrier_3_36	4.746438112	1547206829.298648962	1
osu	allreduce_3_36	2.624278110	1547206831.922927072	1
osu	alltoall_4_1	.746989482	1547206832.669916554	1
osu	barrier_4_1	1.756630952	1547206834.426547506	1
osu	allreduce_4_1	.786982099	1547206835.213529605	1
osu	alltoall_4_2	1.074294347	1547206836.287823952	1
osu	barrier_4_2	2.129001158	1547206838.416825110	1
osu	allreduce_4_2	.920373168	1547206839.337198278	1
osu	alltoall_4_4	2.653863424	1547206841.991061702	1
osu	barrier_4_4	2.359063584	1547206844.350125286	1
osu	allreduce_4_4	1.051401364	1547206845.401526650	1
osu	alltoall_4_8	7.941491093	1547206853.343017743	1
osu	barrier_4_8	2.564841808	1547206855.907859551	1
osu	allreduce_4_8	1.126171785	1547206857.034031336	1
osu	alltoall_4_16	31.546745541	1547206888.580776877	1
osu	barrier_4_16	2.954002688	1547206891.534779565	1
osu	allreduce_4_16	1.373333151	1547206892.908112716	1
osu	alltoall_4_32	133.686087579	1547207026.594200295	1
osu	barrier_4_32	3.460907155	1547207030.055107450	1
osu	allreduce_4_32	1.950642368	1547207032.005749818	1
osu	alltoall_4_36	168.284265336	1547207200.290015154	1
osu	barrier_4_36	5.506691087	1547207205.796706241	1
osu	allreduce_4_36	3.654919219	1547207209.451625460	1
osu	alltoall_5_1	.844643851	1547207210.296269311	1
osu	barrier_5_1	2.343711840	1547207212.639981151	1
osu	allreduce_5_1	.833556858	1547207213.473538009	1
osu	alltoall_5_2	1.409477486	1547207214.883015495	1
osu	barrier_5_2	3.121631134	1547207218.004646629	1
osu	allreduce_5_2	1.170855678	1547207219.175502307	1
osu	alltoall_5_4	3.265775490	1547207222.441277797	1
osu	barrier_5_4	3.539720609	1547207225.980998406	1
osu	allreduce_5_4	1.327823321	1547207227.308821727	1
osu	alltoall_5_8	10.427933078	1547207237.736754805	1
osu	barrier_5_8	3.950847235	1547207241.687602040	1
osu	allreduce_5_8	1.612901833	1547207243.300503873	1
osu	alltoall_5_16	40.131554922	1547207283.432058795	1
osu	barrier_5_16	4.356234756	1547207287.788293551	1
osu	allreduce_5_16	2.260461285	1547207290.048754836	1
osu	alltoall_5_32	186.982489955	1547207477.031244791	1
osu	barrier_5_32	5.112979825	1547207482.144224616	1
osu	allreduce_5_32	3.327673709	1547207485.471898325	1
osu	alltoall_5_36	226.032328988	1547207711.504227313	1
osu	barrier_5_36	5.869810663	1547207717.374037976	1
osu	allreduce_5_36	4.027054423	1547207721.401092399	1
osu	alltoall_6_1	.849279585	1547207722.250371984	1
osu	barrier_6_1	2.351589516	1547207724.601961500	1
osu	allreduce_6_1	.904300124	1547207725.506261624	1
osu	alltoall_6_2	1.511575981	1547207727.017837605	1
osu	barrier_6_2	3.147156969	1547207730.164994574	1
osu	allreduce_6_2	1.232214882	1547207731.397209456	1
osu	alltoall_6_4	3.967375856	1547207735.364585312	1
osu	barrier_6_4	3.649631371	1547207739.014216683	1
osu	allreduce_6_4	1.408041023	1547207740.422257706	1
osu	alltoall_6_8	12.761257927	1547207753.183515633	1
osu	barrier_6_8	3.861904973	1547207757.045420606	1
osu	allreduce_6_8	1.395995754	1547207758.441416360	1
osu	alltoall_6_16	49.476882990	1547207807.918299350	1
osu	barrier_6_16	4.643391171	1547207812.561690521	1
osu	allreduce_6_16	2.005477293	1547207814.567167814	1
osu	alltoall_6_32	225.716055674	1547208040.283223488	1
osu	barrier_6_32	5.095614251	1547208045.378837739	1
osu	allreduce_6_32	2.736171914	1547208048.115009653	1
osu	alltoall_6_36	298.019001196	1547208346.134010849	1
osu	barrier_6_36	6.026926162	1547208352.160937011	1
osu	allreduce_6_36	3.780844569	1547208355.941781580	1
