Element	Step	dT	TimeStamp	Nops
osu	Start	.003012072	1519223648.371554540	1
osu	alltoall_1	.005007435	1519223648.376561975	2
osu	barrier_1	.003760207	1519223648.380322182	2
osu	allreduce_1	.003562929	1519223648.383885111	2
osu	alltoall_1	.003524877	1519223648.387409988	4
osu	barrier_1	.003408790	1519223648.390818778	4
osu	allreduce_1	.003568909	1519223648.394387687	4
osu	alltoall_1	.004014101	1519223648.398401788	8
osu	barrier_1	.003811645	1519223648.402213433	8
osu	allreduce_1	.003830405	1519223648.406043838	8
osu	alltoall_1	.003701336	1519223648.409745174	16
osu	barrier_1	.003772759	1519223648.413517933	16
osu	allreduce_1	.003906122	1519223648.417424055	16
osu	alltoall_1	.003726279	1519223648.421150334	32
osu	barrier_1	.003737989	1519223648.424888323	32
osu	allreduce_1	.003557357	1519223648.428445680	32
osu	alltoall_1	.003537861	1519223648.431983541	36
osu	barrier_1	.003656940	1519223648.435640481	36
osu	allreduce_1	.003675171	1519223648.439315652	36
