Element	Step	dT	TimeStamp	Nops
osu	Start	.003827728	1518890549.395775977	1
osu	latency	34.083818821	1518890583.479594798	1
osu	mbw_mr_2_1	128.361202791	1518890711.840797589	1
osu	mbw_mr_2_2	242.128639289	1518890953.969436878	1
osu	mbw_mr_2_4	477.450422185	1518891431.419859063	1
osu	mbw_mr_2_8	950.990514309	1518892382.410373372	1
osu	alltoall_1	.134606821	1518892382.544980193	2
osu	barrier_1	.326350559	1518892382.871330752	2
osu	allreduce_1	.167786934	1518892383.039117686	2
osu	alltoall_1	.523988497	1518892383.563106183	4
osu	barrier_1	.539732524	1518892384.102838707	4
osu	allreduce_1	.227956356	1518892384.330795063	4
osu	alltoall_1	1.182861222	1518892385.513656285	8
osu	barrier_1	.695392052	1518892386.209048337	8
osu	allreduce_1	.818928000	1518892387.027976337	8
osu	alltoall_2	.589919311	1518892387.617895648	1
osu	barrier_2	1.756910799	1518892389.374806447	1
osu	allreduce_2	.829101242	1518892390.203907689	1
osu	alltoall_2	.909779652	1518892391.113687341	2
osu	barrier_2	2.096897617	1518892393.210584958	2
osu	allreduce_2	.845209483	1518892394.055794441	2
osu	alltoall_2	2.203327391	1518892396.259121832	4
osu	barrier_2	3.587972688	1518892399.847094520	4
osu	allreduce_2	.970561993	1518892400.817656513	4
osu	alltoall_2	7.064138823	1518892407.881795336	8
osu	barrier_2	3.135270487	1518892411.017065823	8
osu	allreduce_2	1.264950478	1518892412.282016301	8
