Element	Step	dT	TimeStamp	Nops
osu	Start	.002963550	1519027241.234970237	1
osu	latency	27.827458501	1519027269.062428738	1
osu	mbw_mr_2_1	82.284731899	1519027351.347160637	1
osu	mbw_mr_2_2	146.899143765	1519027498.246304402	1
osu	mbw_mr_2_4	289.942809645	1519027788.189114047	1
osu	mbw_mr_2_8	602.617618545	1519028390.806732592	1
osu	mbw_mr_2_16	1236.772968794	1519029627.579701386	1
osu	alltoall_1	.122460666	1519029627.702162052	2
osu	barrier_1	.370828124	1519029628.072990176	2
osu	allreduce_1	.180528558	1519029628.253518734	2
osu	alltoall_1	.229755791	1519029628.483274525	4
osu	barrier_1	.514725117	1519029628.997999642	4
osu	allreduce_1	.250900432	1519029629.248900074	4
osu	alltoall_1	.668522514	1519029629.917422588	8
osu	barrier_1	.714626104	1519029630.632048692	8
osu	allreduce_1	.580189837	1519029631.212238529	8
osu	alltoall_1	2.157312439	1519029633.369550968	16
osu	barrier_1	1.007451136	1519029634.377002104	16
osu	allreduce_1	.756519706	1519029635.133521810	16
osu	alltoall_2	.484287341	1519029635.617809151	1
osu	barrier_2	1.727628862	1519029637.345438013	1
osu	allreduce_2	.573282484	1519029637.918720497	1
osu	alltoall_2	.713527159	1519029638.632247656	2
osu	barrier_2	2.155057052	1519029640.787304708	2
osu	allreduce_2	.772825789	1519029641.560130497	2
osu	alltoall_2	1.451603388	1519029643.011733885	4
osu	barrier_2	2.526043468	1519029645.537777353	4
osu	allreduce_2	.791751441	1519029646.329528794	4
osu	alltoall_2	4.385695718	1519029650.715224512	8
osu	barrier_2	2.636444738	1519029653.351669250	8
osu	allreduce_2	.949526438	1519029654.301195688	8
osu	alltoall_2	15.878292746	1519029670.179488434	16
osu	barrier_2	3.903274782	1519029674.082763216	16
osu	allreduce_2	1.452062665	1519029675.534825881	16
