Element	Step	dT	TimeStamp	Nops
osu	Start	.018269214	1517405963.943498782	1
osu	latency	24.969438783	1517405988.912937565	1
osu	mbw_mr_2_1	163.959210755	1517406152.872148320	1
osu	mbw_mr_2_2	328.821635709	1517406481.693784029	1
osu	mbw_mr_2_4	669.325060370	1517407151.018844399	1
osu	mbw_mr_2_8	1363.243763949	1517408514.262608348	1
osu	mbw_mr_2_16	2892.571744473	1517411406.834352821	1
osu	mbw_mr_2_20	3661.079143316	1517415067.913496137	1
osu	alltoall_1	1.641917918	1517415069.555414055	2
osu	barrier_1	1.688227653	1517415071.243641708	2
osu	allreduce_1	1.753028947	1517415072.996670655	2
osu	alltoall_1	3.017347277	1517415076.014017932	4
osu	barrier_1	3.285394171	1517415079.299412103	4
osu	allreduce_1	3.115387011	1517415082.414799114	4
osu	alltoall_1	6.229007230	1517415088.643806344	8
osu	barrier_1	5.783704597	1517415094.427510941	8
osu	allreduce_1	5.753341959	1517415100.180852900	8
osu	alltoall_1	12.751713366	1517415112.932566266	16
osu	barrier_1	10.927779589	1517415123.860345855	16
osu	allreduce_1	10.784938961	1517415134.645284816	16
osu	alltoall_1	16.710504933	1517415151.355789749	20
osu	barrier_1	13.647202512	1517415165.002992261	20
osu	allreduce_1	13.504978524	1517415178.507970785	20
osu	alltoall_2	1.578780973	1517415180.086751758	1
osu	barrier_2	2.007504147	1517415182.094255905	1
osu	allreduce_2	1.607449678	1517415183.701705583	1
osu	alltoall_2	2.423377111	1517415186.125082694	2
osu	barrier_2	3.029750650	1517415189.154833344	2
osu	allreduce_2	2.457970965	1517415191.612804309	2
osu	alltoall_2	4.627878137	1517415196.240682446	4
osu	barrier_2	4.312503066	1517415200.553185512	4
osu	allreduce_2	3.782593841	1517415204.335779353	4
osu	alltoall_2	11.161776817	1517415215.497556170	8
osu	barrier_2	6.843785062	1517415222.341341232	8
osu	allreduce_2	6.322519647	1517415228.663860879	8
osu	alltoall_2	31.301686586	1517415259.965547465	16
osu	barrier_2	11.999067229	1517415271.964614694	16
osu	allreduce_2	11.613993380	1517415283.578608074	16
osu	alltoall_2	46.290006197	1517415329.868614271	20
osu	barrier_2	14.887838514	1517415344.756452785	20
osu	allreduce_2	14.202059967	1517415358.958512752	20
