hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.5.36.out
cat machinefile
hpc-lhr2-02-rdma slots=36
hpc-lhr2-03-rdma slots=36
hpc-lhr2-04-rdma slots=36
hpc-lhr2-05-rdma slots=36
hpc-lhr2-06-rdma slots=36
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 180 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                      10.57
8                      10.80
16                     18.05
32                     15.21
64                     11.95
128                    15.02
256                    15.44
512                    16.82
1024                   20.17
2048                   26.81
4096                  223.18
8192                  337.46
16384                 195.13
32768                 200.24
65536                 225.63
131072                466.73
262144                640.61
524288                800.06
1048576              1489.80
