hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.1.32.out
cat machinefile
hpc-lhr2-02-rdma slots=32
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 32 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       8.11
2                       8.21
4                       8.43
8                       8.67
16                      9.05
32                      9.61
64                     10.77
128                    12.84
256                    22.32
512                    26.30
1024                   38.27
2048                   56.56
4096                  101.40
8192                  192.46
16384                 352.76
32768                 784.61
65536                1646.05
131072               3446.46
262144               4353.80
524288               8527.40
1048576             16940.91
