Element	Step	dT	TimeStamp	Nops
osu	Start	.028235406	1519673041.636897664	1
osu	latency	39.609206407	1519673081.246104071	1
osu	mbw_mr_2_1	147.896087742	1519673229.142191813	1
osu	mbw_mr_2_2	294.297274975	1519673523.439466788	1
osu	mbw_mr_2_4	585.133510289	1519674108.572977077	1
osu	mbw_mr_2_8	1170.211488162	1519675278.784465239	1
osu	mbw_mr_2_16	2324.642977658	1519677603.427442897	1
osu	alltoall_1	.895673959	1519677604.323116856	2
osu	barrier_1	.883996064	1519677605.207112920	2
osu	allreduce_1	.770507034	1519677605.977619954	2
osu	alltoall_1	1.026173451	1519677607.003793405	4
osu	barrier_1	1.247145416	1519677608.250938821	4
osu	allreduce_1	.973856604	1519677609.224795425	4
osu	alltoall_1	1.888180443	1519677611.112975868	8
osu	barrier_1	1.465369626	1519677612.578345494	8
osu	allreduce_1	1.146574666	1519677613.724920160	8
osu	alltoall_1	4.954435190	1519677618.679355350	16
osu	barrier_1	1.865234692	1519677620.544590042	16
osu	allreduce_1	2.364680186	1519677622.909270228	16
osu	alltoall_2	3.021422908	1519677625.930693136	1
osu	barrier_2	3.109963746	1519677629.040656882	1
osu	allreduce_2	2.893817671	1519677631.934474553	1
osu	alltoall_2	3.296724135	1519677635.231198688	2
osu	barrier_2	3.683594033	1519677638.914792721	2
osu	allreduce_2	3.142941589	1519677642.057734310	2
osu	alltoall_2	4.790481822	1519677646.848216132	4
osu	barrier_2	4.083955580	1519677650.932171712	4
osu	allreduce_2	3.269785303	1519677654.201957015	4
osu	alltoall_2	9.472198523	1519677663.674155538	8
osu	barrier_2	4.466362620	1519677668.140518158	8
osu	allreduce_2	3.440136264	1519677671.580654422	8
osu	alltoall_2	26.811467086	1519677698.392121508	16
osu	barrier_2	5.015487345	1519677703.407608853	16
osu	allreduce_2	4.419063987	1519677707.826672840	16
