Element	Step	dT	TimeStamp	Nops
osu	Start	.002900898	1519666538.343564271	1
osu	latency	71.159980606	1519666609.503544877	1
osu	mbw_mr_2_1	143.765583099	1519666753.269127976	1
osu	mbw_mr_2_2	219.453104055	1519666972.722232031	1
osu	mbw_mr_2_4	372.989524813	1519667345.711756844	1
osu	mbw_mr_2_8	663.486155769	1519668009.197912613	1
osu	mbw_mr_2_16	1177.388586013	1519669186.586498626	1
osu	alltoall_1	60.228605868	1519669246.815104494	2
osu	barrier_1	60.329217728	1519669307.144322222	2
osu	allreduce_1	60.242334304	1519669367.386656526	2
osu	alltoall_1	60.681975672	1519669428.068632198	4
osu	barrier_1	60.380934532	1519669488.449566730	4
osu	allreduce_1	60.392678419	1519669548.842245149	4
osu	alltoall_1	62.506930748	1519669611.349175897	8
osu	barrier_1	60.941702603	1519669672.290878500	8
osu	allreduce_1	60.645729367	1519669732.936607867	8
osu	alltoall_1	70.623928941	1519669803.560536808	16
osu	barrier_1	62.114308375	1519669865.674845183	16
osu	allreduce_1	61.589793390	1519669927.264638573	16
osu	alltoall_2	60.246349237	1519669987.510987810	1
osu	barrier_2	60.343311041	1519670047.854298851	1
osu	allreduce_2	60.261531477	1519670108.115830328	1
osu	alltoall_2	60.674211023	1519670168.790041351	2
osu	barrier_2	60.410498178	1519670229.200539529	2
osu	allreduce_2	60.389521800	1519670289.590061329	2
osu	alltoall_2	62.433266095	1519670352.023327424	4
osu	barrier_2	60.697142962	1519670412.720470386	4
osu	allreduce_2	60.659694739	1519670473.380165125	4
osu	alltoall_2	70.524186679	1519670543.904351804	8
osu	barrier_2	62.406660097	1519670606.311011901	8
osu	allreduce_2	61.368861911	1519670667.679873812	8
osu	alltoall_2	90.055627162	1519670757.735500974	16
osu	barrier_2	63.498079681	1519670821.233580655	16
osu	allreduce_2	62.522741628	1519670883.756322283	16
