hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_allreduce.2.2.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       1.29
8                       1.28
16                      1.41
32                      1.27
64                      1.35
128                     1.43
256                     1.63
512                     1.80
1024                    2.11
2048                    2.56
4096                    3.84
8192                    7.83
16384                  11.32
32768                  17.78
65536                  31.88
131072                 63.61
262144                125.95
524288                246.85
1048576              1031.62
