hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_alltoall.2.4.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       3.09
2                       2.83
4                       2.77
8                       2.85
16                      2.78
32                      2.81
64                      3.23
128                     3.64
256                     3.52
512                     4.22
1024                    5.57
2048                    9.55
4096                   12.18
8192                   24.02
16384                  42.85
32768                  79.78
65536                 154.73
131072                382.86
262144                956.61
524288               5838.58
1048576             11347.46
