hpchub_mpirun /enc/uprod_xwKwp/work/shared/tests/osu/osu-micro-benchmarks-5.4/mpi/pt2pt/osu_latency -x 10000 -i 100000 -m 131072 | tee -a ../../../runs/run/osu/rescale/mercury-2-nodes-56gbps/2018-02-28_09:33:10/osu_latency.2.1.out
Using default -machinefile setting (/enc/uprod_xwKwp/hosts)
# OSU MPI Latency Test v5.4.0
# Size          Latency (us)
0                       0.25
1                       0.25
2                       0.25
4                       0.25
8                       0.25
16                      0.24
32                      0.24
64                      0.43
128                     0.74
256                     0.75
512                     0.89
1024                    0.94
2048                    1.05
4096                    1.53
8192                    2.27
16384                   3.88
32768                   5.83
65536                   8.85
131072                 18.55
